Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 106

Schedule:
Subtask 1 (O1): ECU E4 Core 1, Start 53, Finish 57
Subtask 2 (O2): ECU E2 Core 1, Start 4, Finish 16
Subtask 3 (O3): ECU E3 Core 2, Start 0, Finish 4
Subtask 4 (O4): ECU E2 Core 2, Start 75, Finish 87
Subtask 5 (O1): ECU E2 Core 1, Start 16, Finish 26
Subtask 6 (O2): ECU E2 Core 2, Start 6, Finish 12
Subtask 7 (O3): ECU E3 Core 1, Start 51, Finish 55
Subtask 8 (O4): ECU E4 Core 1, Start 0, Finish 6
Subtask 9 (O5): ECU E2 Core 2, Start 87, Finish 93
Subtask 10 (O1): ECU E2 Core 2, Start 12, Finish 16
Subtask 11 (O2): ECU E2 Core 1, Start 66, Finish 69
Subtask 12 (O3): ECU E4 Core 2, Start 39, Finish 45
Subtask 13 (O4): ECU E3 Core 1, Start 0, Finish 6
Subtask 14 (O5): ECU E2 Core 1, Start 26, Finish 32
Subtask 15 (O1): ECU E2 Core 2, Start 16, Finish 20
Subtask 16 (O2): ECU E3 Core 2, Start 4, Finish 16
Subtask 17 (O3): ECU E4 Core 1, Start 26, Finish 28
Subtask 18 (O4): ECU E3 Core 1, Start 30, Finish 35
Subtask 19 (O5): ECU E4 Core 2, Start 45, Finish 51
Subtask 20 (O1): ECU E3 Core 2, Start 65, Finish 71
Subtask 21 (O2): ECU E4 Core 1, Start 6, Finish 12
Subtask 22 (O3): ECU E3 Core 1, Start 35, Finish 39
Subtask 23 (O4): ECU E1 Core 1, Start 0, Finish 10
Subtask 24 (O5): ECU E2 Core 1, Start 32, Finish 36
Subtask 25 (O6): ECU E3 Core 2, Start 57, Finish 59
Subtask 26 (O1): ECU E4 Core 1, Start 57, Finish 61
Subtask 27 (O2): ECU E3 Core 2, Start 28, Finish 33
Subtask 28 (O3): ECU E1 Core 1, Start 77, Finish 83
Subtask 29 (O4): ECU E4 Core 1, Start 12, Finish 18
Subtask 30 (O1): ECU E4 Core 1, Start 61, Finish 63
Subtask 31 (O2): ECU E1 Core 1, Start 33, Finish 37
Subtask 32 (O3): ECU E1 Core 1, Start 10, Finish 16
Subtask 33 (O4): ECU E1 Core 1, Start 37, Finish 39
Subtask 33 (O4): ECU E4 Core 1, Start 37, Finish 39
Subtask 34 (O5): ECU E4 Core 2, Start 63, Finish 69
Subtask 35 (O1): ECU E1 Core 1, Start 83, Finish 87
Subtask 36 (O2): ECU E1 Core 1, Start 57, Finish 61
Subtask 37 (O3): ECU E1 Core 1, Start 39, Finish 45
Subtask 38 (O4): ECU E3 Core 1, Start 6, Finish 16
Subtask 39 (O1): ECU E1 Core 1, Start 61, Finish 67
Subtask 40 (O2): ECU E2 Core 2, Start 0, Finish 5
Subtask 41 (O3): ECU E4 Core 1, Start 63, Finish 67
Subtask 42 (O4): ECU E4 Core 1, Start 39, Finish 42
Subtask 43 (O5): ECU E3 Core 2, Start 71, Finish 76
Subtask 44 (O6): ECU E4 Core 2, Start 51, Finish 54
Subtask 45 (O1): ECU E4 Core 1, Start 67, Finish 69
Subtask 46 (O2): ECU E3 Core 2, Start 33, Finish 43
Subtask 47 (O3): ECU E4 Core 1, Start 69, Finish 71
Subtask 48 (O4): ECU E4 Core 2, Start 69, Finish 73
Subtask 49 (O5): ECU E3 Core 1, Start 16, Finish 26
Subtask 50 (O6): ECU E3 Core 1, Start 102, Finish 106
Subtask 51 (O1): ECU E4 Core 2, Start 0, Finish 2
Subtask 52 (O2): ECU E2 Core 2, Start 20, Finish 23
Subtask 53 (O3): ECU E2 Core 2, Start 60, Finish 65
Subtask 54 (O4): ECU E1 Core 1, Start 45, Finish 47
Subtask 55 (O5): ECU E4 Core 1, Start 83, Finish 95
Subtask 56 (O1): ECU E1 Core 1, Start 87, Finish 93
Subtask 57 (O2): ECU E3 Core 1, Start 55, Finish 63
Subtask 58 (O3): ECU E3 Core 2, Start 43, Finish 47
Subtask 59 (O4): ECU E4 Core 2, Start 21, Finish 29
Subtask 60 (O5): ECU E1 Core 1, Start 16, Finish 21
Subtask 61 (O1): ECU E4 Core 1, Start 71, Finish 75
Subtask 62 (O2): ECU E3 Core 1, Start 39, Finish 45
Subtask 63 (O3): ECU E2 Core 2, Start 23, Finish 27
Subtask 64 (O4): ECU E3 Core 2, Start 16, Finish 20
Subtask 65 (O5): ECU E1 Core 1, Start 21, Finish 23
Subtask 66 (O6): ECU E3 Core 2, Start 20, Finish 22
Subtask 67 (O1): ECU E2 Core 2, Start 35, Finish 43
Subtask 68 (O2): ECU E2 Core 1, Start 36, Finish 48
Subtask 69 (O3): ECU E4 Core 1, Start 18, Finish 26
Subtask 70 (O4): ECU E1 Core 1, Start 23, Finish 33
Subtask 71 (O5): ECU E2 Core 2, Start 27, Finish 35
Subtask 72 (O6): ECU E2 Core 2, Start 65, Finish 75
Subtask 73 (O1): ECU E3 Core 2, Start 22, Finish 26
Subtask 74 (O2): ECU E4 Core 1, Start 42, Finish 47
Subtask 75 (O3): ECU E2 Core 1, Start 69, Finish 79
Subtask 76 (O4): ECU E3 Core 1, Start 45, Finish 51
Subtask 77 (O5): ECU E2 Core 1, Start 56, Finish 58
Subtask 78 (O1): ECU E1 Core 1, Start 93, Finish 99
