Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 184

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 110, Finish 115
Subtask 1 (O1): ECU E3 Core 1, Start 110, Finish 115
Subtask 2 (O2): ECU E3 Core 2, Start 19, Finish 25
Subtask 3 (O3): ECU E2 Core 2, Start 0, Finish 8
Subtask 4 (O4): ECU E3 Core 2, Start 0, Finish 3
Subtask 5 (O5): ECU E2 Core 2, Start 146, Finish 156
Subtask 6 (O6): ECU E1 Core 1, Start 115, Finish 118
Subtask 7 (O1): ECU E4 Core 2, Start 65, Finish 68
Subtask 8 (O2): ECU E4 Core 1, Start 121, Finish 123
Subtask 9 (O3): ECU E2 Core 2, Start 8, Finish 20
Subtask 10 (O4): ECU E2 Core 1, Start 174, Finish 184
Subtask 11 (O5): ECU E4 Core 2, Start 0, Finish 2
Subtask 12 (O6): ECU E1 Core 1, Start 118, Finish 121
Subtask 12 (O6): ECU E3 Core 1, Start 118, Finish 121
Subtask 13 (O1): ECU E4 Core 1, Start 96, Finish 100
Subtask 14 (O2): ECU E2 Core 1, Start 20, Finish 24
Subtask 15 (O3): ECU E1 Core 1, Start 35, Finish 43
Subtask 16 (O4): ECU E4 Core 1, Start 0, Finish 10
Subtask 17 (O1): ECU E4 Core 1, Start 10, Finish 14
Subtask 18 (O2): ECU E4 Core 1, Start 123, Finish 131
Subtask 19 (O3): ECU E4 Core 2, Start 79, Finish 85
Subtask 20 (O4): ECU E1 Core 1, Start 43, Finish 53
Subtask 21 (O1): ECU E3 Core 1, Start 0, Finish 10
Subtask 22 (O2): ECU E2 Core 1, Start 24, Finish 36
Subtask 23 (O3): ECU E3 Core 2, Start 120, Finish 125
Subtask 24 (O4): ECU E2 Core 1, Start 36, Finish 46
Subtask 25 (O5): ECU E2 Core 2, Start 108, Finish 113
Subtask 26 (O1): ECU E1 Core 1, Start 149, Finish 152
Subtask 27 (O2): ECU E2 Core 1, Start 0, Finish 2
Subtask 28 (O3): ECU E2 Core 2, Start 113, Finish 117
Subtask 29 (O4): ECU E4 Core 2, Start 68, Finish 74
Subtask 30 (O5): ECU E1 Core 1, Start 53, Finish 59
Subtask 31 (O1): ECU E4 Core 1, Start 42, Finish 52
Subtask 32 (O2): ECU E1 Core 1, Start 152, Finish 160
Subtask 33 (O3): ECU E4 Core 2, Start 2, Finish 10
Subtask 34 (O4): ECU E2 Core 2, Start 117, Finish 122
Subtask 35 (O1): ECU E4 Core 2, Start 85, Finish 91
Subtask 36 (O2): ECU E2 Core 1, Start 46, Finish 52
Subtask 37 (O3): ECU E4 Core 2, Start 10, Finish 18
Subtask 38 (O4): ECU E3 Core 1, Start 35, Finish 47
Subtask 39 (O1): ECU E3 Core 2, Start 25, Finish 35
Subtask 40 (O2): ECU E2 Core 1, Start 2, Finish 14
Subtask 41 (O3): ECU E1 Core 1, Start 64, Finish 66
Subtask 42 (O4): ECU E1 Core 1, Start 59, Finish 64
Subtask 42 (O4): ECU E4 Core 1, Start 59, Finish 64
Subtask 43 (O5): ECU E4 Core 2, Start 91, Finish 94
Subtask 44 (O6): ECU E4 Core 2, Start 18, Finish 24
Subtask 45 (O1): ECU E3 Core 1, Start 150, Finish 153
Subtask 46 (O2): ECU E2 Core 1, Start 96, Finish 99
Subtask 47 (O3): ECU E1 Core 1, Start 66, Finish 69
Subtask 47 (O3): ECU E4 Core 1, Start 66, Finish 69
Subtask 48 (O4): ECU E4 Core 2, Start 24, Finish 28
Subtask 49 (O5): ECU E4 Core 2, Start 111, Finish 121
Subtask 50 (O6): ECU E3 Core 2, Start 86, Finish 96
Subtask 51 (O1): ECU E1 Core 1, Start 0, Finish 5
Subtask 52 (O2): ECU E3 Core 2, Start 35, Finish 39
Subtask 53 (O3): ECU E3 Core 1, Start 47, Finish 53
Subtask 54 (O4): ECU E3 Core 2, Start 39, Finish 45
Subtask 55 (O5): ECU E3 Core 1, Start 121, Finish 127
Subtask 56 (O6): ECU E3 Core 2, Start 127, Finish 132
Subtask 57 (O1): ECU E4 Core 2, Start 28, Finish 40
Subtask 58 (O2): ECU E3 Core 2, Start 96, Finish 100
Subtask 59 (O3): ECU E2 Core 2, Start 40, Finish 48
Subtask 60 (O4): ECU E1 Core 1, Start 160, Finish 172
Subtask 61 (O5): ECU E3 Core 1, Start 53, Finish 61
Subtask 62 (O6): ECU E1 Core 1, Start 5, Finish 13
Subtask 63 (O1): ECU E1 Core 1, Start 13, Finish 19
Subtask 64 (O2): ECU E3 Core 1, Start 143, Finish 147
Subtask 65 (O3): ECU E1 Core 1, Start 69, Finish 73
Subtask 66 (O4): ECU E2 Core 1, Start 73, Finish 75
Subtask 67 (O1): ECU E3 Core 2, Start 100, Finish 110
Subtask 68 (O2): ECU E3 Core 2, Start 132, Finish 138
Subtask 69 (O3): ECU E3 Core 1, Start 10, Finish 12
Subtask 70 (O4): ECU E2 Core 1, Start 52, Finish 56
Subtask 71 (O5): ECU E1 Core 1, Start 19, Finish 25
Subtask 72 (O6): ECU E2 Core 2, Start 48, Finish 58
Subtask 73 (O1): ECU E2 Core 2, Start 20, Finish 26
