Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 140

Schedule:
Subtask 1 (O1): ECU E4 Core 2, Start 55, Finish 59
Subtask 2 (O2): ECU E2 Core 2, Start 15, Finish 27
Subtask 3 (O3): ECU E4 Core 1, Start 0, Finish 4
Subtask 4 (O4): ECU E2 Core 1, Start 68, Finish 80
Subtask 5 (O1): ECU E2 Core 1, Start 10, Finish 20
Subtask 6 (O2): ECU E1 Core 1, Start 13, Finish 19
Subtask 7 (O3): ECU E4 Core 2, Start 59, Finish 63
Subtask 8 (O4): ECU E3 Core 2, Start 0, Finish 6
Subtask 9 (O5): ECU E2 Core 1, Start 80, Finish 86
Subtask 10 (O1): ECU E2 Core 2, Start 27, Finish 31
Subtask 11 (O2): ECU E2 Core 1, Start 86, Finish 89
Subtask 12 (O3): ECU E4 Core 2, Start 63, Finish 69
Subtask 13 (O4): ECU E3 Core 2, Start 6, Finish 12
Subtask 14 (O5): ECU E1 Core 1, Start 19, Finish 25
Subtask 15 (O1): ECU E1 Core 1, Start 25, Finish 29
Subtask 16 (O2): ECU E3 Core 2, Start 12, Finish 24
Subtask 17 (O3): ECU E4 Core 1, Start 24, Finish 26
Subtask 18 (O4): ECU E3 Core 1, Start 46, Finish 51
Subtask 19 (O5): ECU E2 Core 1, Start 60, Finish 66
Subtask 20 (O1): ECU E1 Core 1, Start 97, Finish 103
Subtask 21 (O2): ECU E4 Core 1, Start 4, Finish 10
Subtask 22 (O3): ECU E3 Core 1, Start 51, Finish 55
Subtask 23 (O4): ECU E2 Core 1, Start 0, Finish 10
Subtask 24 (O5): ECU E1 Core 1, Start 29, Finish 33
Subtask 25 (O6): ECU E3 Core 2, Start 36, Finish 38
Subtask 26 (O1): ECU E4 Core 2, Start 69, Finish 73
Subtask 27 (O2): ECU E2 Core 1, Start 20, Finish 25
Subtask 28 (O3): ECU E1 Core 1, Start 103, Finish 109
Subtask 29 (O4): ECU E3 Core 1, Start 0, Finish 6
Subtask 30 (O1): ECU E3 Core 2, Start 38, Finish 40
Subtask 31 (O2): ECU E2 Core 1, Start 25, Finish 29
Subtask 32 (O3): ECU E1 Core 1, Start 0, Finish 6
Subtask 33 (O4): ECU E2 Core 2, Start 31, Finish 33
Subtask 34 (O5): ECU E2 Core 2, Start 66, Finish 72
Subtask 35 (O1): ECU E4 Core 2, Start 84, Finish 88
Subtask 36 (O2): ECU E4 Core 1, Start 60, Finish 64
Subtask 37 (O3): ECU E2 Core 1, Start 29, Finish 35
Subtask 38 (O4): ECU E3 Core 1, Start 6, Finish 16
Subtask 39 (O1): ECU E1 Core 1, Start 69, Finish 75
Subtask 40 (O2): ECU E2 Core 2, Start 0, Finish 5
Subtask 41 (O3): ECU E4 Core 1, Start 64, Finish 68
Subtask 42 (O4): ECU E1 Core 1, Start 33, Finish 36
Subtask 43 (O5): ECU E3 Core 1, Start 94, Finish 99
Subtask 44 (O6): ECU E4 Core 2, Start 73, Finish 76
Subtask 45 (O1): ECU E3 Core 2, Start 77, Finish 79
Subtask 46 (O2): ECU E2 Core 2, Start 35, Finish 45
Subtask 47 (O3): ECU E3 Core 1, Start 79, Finish 81
Subtask 48 (O4): ECU E3 Core 2, Start 87, Finish 91
Subtask 49 (O5): ECU E3 Core 2, Start 16, Finish 26
Subtask 50 (O6): ECU E3 Core 2, Start 136, Finish 140
Subtask 51 (O1): ECU E3 Core 1, Start 26, Finish 28
Subtask 52 (O2): ECU E1 Core 1, Start 36, Finish 39
Subtask 53 (O3): ECU E3 Core 1, Start 81, Finish 86
Subtask 54 (O4): ECU E2 Core 2, Start 33, Finish 35
Subtask 55 (O5): ECU E4 Core 1, Start 86, Finish 98
Subtask 56 (O1): ECU E1 Core 1, Start 109, Finish 115
Subtask 57 (O2): ECU E3 Core 2, Start 40, Finish 48
Subtask 58 (O3): ECU E4 Core 1, Start 26, Finish 30
Subtask 59 (O4): ECU E3 Core 1, Start 55, Finish 63
Subtask 60 (O5): ECU E1 Core 1, Start 6, Finish 11
Subtask 61 (O1): ECU E1 Core 1, Start 75, Finish 79
Subtask 62 (O2): ECU E3 Core 1, Start 63, Finish 69
Subtask 63 (O3): ECU E1 Core 1, Start 39, Finish 43
Subtask 64 (O4): ECU E4 Core 1, Start 10, Finish 14
Subtask 65 (O5): ECU E1 Core 1, Start 11, Finish 13
Subtask 66 (O6): ECU E4 Core 1, Start 14, Finish 16
Subtask 67 (O1): ECU E1 Core 1, Start 43, Finish 51
Subtask 68 (O2): ECU E4 Core 1, Start 36, Finish 48
Subtask 69 (O3): ECU E3 Core 1, Start 28, Finish 36
Subtask 70 (O4): ECU E2 Core 2, Start 5, Finish 15
Subtask 71 (O5): ECU E4 Core 1, Start 48, Finish 56
Subtask 72 (O6): ECU E2 Core 2, Start 56, Finish 66
Subtask 73 (O1): ECU E3 Core 1, Start 36, Finish 40
Subtask 74 (O2): ECU E4 Core 2, Start 40, Finish 45
Subtask 75 (O3): ECU E2 Core 1, Start 89, Finish 99
Subtask 76 (O4): ECU E3 Core 1, Start 69, Finish 75
Subtask 77 (O5): ECU E2 Core 1, Start 66, Finish 68
Subtask 78 (O1): ECU E2 Core 2, Start 115, Finish 121
Subtask 79 (O2): ECU E3 Core 1, Start 40, Finish 46
Subtask 80 (O3): ECU E2 Core 1, Start 51, Finish 61
Subtask 81 (O4): ECU E4 Core 1, Start 98, Finish 102
Subtask 82 (O5): ECU E3 Core 2, Start 76, Finish 84
Subtask 83 (O6): ECU E1 Core 1, Start 121, Finish 127
Subtask 84 (O1): ECU E1 Core 1, Start 79, Finish 83
Subtask 85 (O2): ECU E3 Core 2, Start 30, Finish 36
Subtask 86 (O3): ECU E2 Core 1, Start 99, Finish 102
Subtask 87 (O4): ECU E3 Core 1, Start 86, Finish 94
Subtask 88 (O5): ECU E2 Core 2, Start 35, Finish 41
Subtask 89 (O6): ECU E4 Core 2, Start 0, Finish 4
Subtask 90 (O1): ECU E3 Core 1, Start 121, Finish 133
Subtask 91 (O2): ECU E2 Core 1, Start 45, Finish 50
Subtask 92 (O3): ECU E4 Core 1, Start 68, Finish 74
Subtask 93 (O4): ECU E4 Core 1, Start 56, Finish 60
Subtask 94 (O5): ECU E4 Core 1, Start 16, Finish 22
Subtask 95 (O1): ECU E3 Core 1, Start 133, Finish 136
Subtask 96 (O2): ECU E2 Core 1, Start 83, Finish 87
Subtask 97 (O3): ECU E2 Core 1, Start 50, Finish 60
Subtask 98 (O4): ECU E3 Core 2, Start 24, Finish 30
Subtask 99 (O5): ECU E4 Core 2, Start 45, Finish 55
Subtask 100 (O1): ECU E4 Core 1, Start 22, Finish 24
Subtask 101 (O2): ECU E3 Core 1, Start 75, Finish 77
Subtask 102 (O3): ECU E1 Core 1, Start 61, Finish 69
Subtask 103 (O4): ECU E1 Core 1, Start 87, Finish 97
Load Imbalance: 19
Objective Function Value: 0.1406
Elapsed Time (this testcase): 4.36 seconds
Peak Memory Usage (this testcase): 0.844 MB
=== TestCase 2 ===
Makespan: 128

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 27, Finish 29
Subtask 2 (O2): ECU E3 Core 2, Start 0, Finish 3
Subtask 3 (O3): ECU E2 Core 2, Start 16, Finish 24
Subtask 4 (O4): ECU E2 Core 2, Start 45, Finish 48
Subtask 5 (O5): ECU E2 Core 2, Start 24, Finish 30
Subtask 6 (O1): ECU E3 Core 2, Start 3, Finish 7
Subtask 7 (O2): ECU E4 Core 1, Start 41, Finish 45
Subtask 8 (O3): ECU E3 Core 1, Start 30, Finish 38
Subtask 9 (O4): ECU E3 Core 1, Start 123, Finish 125
