Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 126

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 32, Finish 44
Subtask 2 (O2): ECU E1 Core 1, Start 44, Finish 48
Subtask 3 (O3): ECU E4 Core 2, Start 70, Finish 82
Subtask 4 (O4): ECU E4 Core 1, Start 0, Finish 8
Subtask 5 (O1): ECU E2 Core 1, Start 19, Finish 27
Subtask 6 (O2): ECU E1 Core 1, Start 75, Finish 81
Subtask 7 (O3): ECU E4 Core 1, Start 33, Finish 39
Subtask 8 (O4): ECU E3 Core 2, Start 0, Finish 5
Subtask 9 (O5): ECU E2 Core 1, Start 81, Finish 89
Subtask 10 (O6): ECU E4 Core 1, Start 39, Finish 51
Subtask 11 (O1): ECU E2 Core 2, Start 20, Finish 26
Subtask 12 (O2): ECU E2 Core 2, Start 0, Finish 2
Subtask 13 (O3): ECU E2 Core 1, Start 0, Finish 6
Subtask 14 (O4): ECU E4 Core 2, Start 28, Finish 31
Subtask 15 (O5): ECU E2 Core 2, Start 56, Finish 68
Subtask 16 (O6): ECU E4 Core 1, Start 97, Finish 101
Subtask 17 (O1): ECU E3 Core 1, Start 96, Finish 98
Subtask 18 (O2): ECU E1 Core 1, Start 0, Finish 10
Subtask 19 (O3): ECU E1 Core 1, Start 48, Finish 51
Subtask 20 (O4): ECU E3 Core 2, Start 34, Finish 36
Subtask 21 (O5): ECU E4 Core 1, Start 77, Finish 79
Subtask 22 (O6): ECU E4 Core 1, Start 51, Finish 53
Subtask 23 (O1): ECU E2 Core 1, Start 6, Finish 11
Subtask 24 (O2): ECU E2 Core 2, Start 92, Finish 95
Subtask 25 (O3): ECU E3 Core 1, Start 0, Finish 8
Subtask 26 (O4): ECU E4 Core 1, Start 53, Finish 57
Subtask 27 (O5): ECU E3 Core 1, Start 73, Finish 81
Subtask 28 (O6): ECU E3 Core 1, Start 30, Finish 34
Subtask 29 (O1): ECU E2 Core 2, Start 26, Finish 28
Subtask 30 (O2): ECU E4 Core 2, Start 31, Finish 36
Subtask 31 (O3): ECU E3 Core 2, Start 102, Finish 106
Subtask 32 (O4): ECU E3 Core 1, Start 8, Finish 10
Subtask 33 (O5): ECU E2 Core 1, Start 59, Finish 64
Subtask 34 (O1): ECU E3 Core 1, Start 34, Finish 44
Subtask 35 (O2): ECU E4 Core 2, Start 36, Finish 38
Subtask 36 (O3): ECU E4 Core 2, Start 82, Finish 94
Subtask 37 (O4): ECU E2 Core 1, Start 11, Finish 13
Subtask 38 (O1): ECU E1 Core 1, Start 81, Finish 86
Subtask 39 (O2): ECU E3 Core 2, Start 36, Finish 44
Subtask 40 (O3): ECU E1 Core 1, Start 10, Finish 14
Subtask 41 (O4): ECU E2 Core 1, Start 27, Finish 37
Subtask 42 (O1): ECU E4 Core 2, Start 0, Finish 12
Subtask 43 (O2): ECU E4 Core 2, Start 12, Finish 16
Subtask 44 (O3): ECU E3 Core 2, Start 79, Finish 87
Subtask 45 (O4): ECU E1 Core 1, Start 108, Finish 118
Subtask 46 (O5): ECU E2 Core 1, Start 51, Finish 57
Subtask 47 (O6): ECU E2 Core 2, Start 28, Finish 34
Subtask 48 (O1): ECU E2 Core 2, Start 68, Finish 72
Subtask 49 (O2): ECU E4 Core 1, Start 8, Finish 11
Subtask 50 (O3): ECU E3 Core 1, Start 81, Finish 86
Subtask 51 (O4): ECU E4 Core 2, Start 38, Finish 48
Subtask 52 (O5): ECU E2 Core 1, Start 89, Finish 101
Subtask 53 (O6): ECU E2 Core 2, Start 34, Finish 42
Subtask 54 (O1): ECU E2 Core 1, Start 64, Finish 67
Subtask 55 (O2): ECU E2 Core 2, Start 2, Finish 5
Subtask 56 (O3): ECU E4 Core 2, Start 96, Finish 101
Subtask 57 (O4): ECU E2 Core 1, Start 37, Finish 42
Subtask 58 (O5): ECU E4 Core 1, Start 57, Finish 61
Subtask 59 (O1): ECU E2 Core 1, Start 113, Finish 119
Subtask 60 (O2): ECU E3 Core 1, Start 44, Finish 52
Subtask 61 (O3): ECU E3 Core 1, Start 10, Finish 20
Subtask 62 (O4): ECU E2 Core 2, Start 72, Finish 82
Subtask 63 (O5): ECU E2 Core 2, Start 101, Finish 113
Subtask 64 (O6): ECU E2 Core 2, Start 42, Finish 45
Subtask 65 (O1): ECU E4 Core 2, Start 101, Finish 106
Subtask 66 (O2): ECU E4 Core 1, Start 11, Finish 21
Subtask 67 (O3): ECU E4 Core 1, Start 87, Finish 91
Subtask 68 (O4): ECU E3 Core 2, Start 44, Finish 47
Subtask 69 (O5): ECU E3 Core 1, Start 52, Finish 56
Subtask 70 (O1): ECU E1 Core 1, Start 86, Finish 92
Subtask 71 (O2): ECU E2 Core 1, Start 42, Finish 46
Subtask 72 (O3): ECU E4 Core 1, Start 61, Finish 64
Subtask 73 (O4): ECU E3 Core 2, Start 5, Finish 8
Subtask 74 (O1): ECU E4 Core 1, Start 64, Finish 68
Subtask 75 (O2): ECU E2 Core 2, Start 5, Finish 13
Subtask 76 (O3): ECU E3 Core 2, Start 47, Finish 53
Subtask 77 (O4): ECU E1 Core 1, Start 92, Finish 96
Subtask 78 (O1): ECU E1 Core 1, Start 14, Finish 18
Subtask 79 (O2): ECU E4 Core 2, Start 16, Finish 28
Subtask 80 (O3): ECU E4 Core 1, Start 91, Finish 97
Subtask 81 (O4): ECU E3 Core 1, Start 98, Finish 104
Subtask 82 (O5): ECU E3 Core 2, Start 53, Finish 59
Subtask 83 (O6): ECU E3 Core 2, Start 59, Finish 67
Subtask 84 (O1): ECU E1 Core 1, Start 96, Finish 108
Subtask 85 (O2): ECU E3 Core 1, Start 20, Finish 26
Subtask 86 (O3): ECU E2 Core 1, Start 46, Finish 54
Subtask 87 (O4): ECU E2 Core 2, Start 45, Finish 51
Subtask 88 (O1): ECU E4 Core 1, Start 101, Finish 109
Subtask 89 (O2): ECU E4 Core 2, Start 94, Finish 96
Subtask 90 (O3): ECU E3 Core 2, Start 67, Finish 77
Subtask 91 (O4): ECU E2 Core 2, Start 13, Finish 15
Subtask 92 (O1): ECU E4 Core 1, Start 109, Finish 113
Subtask 93 (O2): ECU E2 Core 1, Start 13, Finish 19
Subtask 94 (O3): ECU E2 Core 2, Start 51, Finish 56
Subtask 95 (O4): ECU E3 Core 2, Start 82, Finish 90
Subtask 96 (O5): ECU E3 Core 2, Start 77, Finish 80
Subtask 97 (O1): ECU E3 Core 2, Start 90, Finish 98
Subtask 98 (O2): ECU E4 Core 1, Start 21, Finish 31
Subtask 99 (O3): ECU E4 Core 1, Start 68, Finish 74
Subtask 100 (O4): ECU E1 Core 1, Start 57, Finish 61
Subtask 100 (O4): ECU E3 Core 1, Start 57, Finish 61
Subtask 101 (O1): ECU E3 Core 1, Start 118, Finish 126
Subtask 102 (O2): ECU E3 Core 2, Start 80, Finish 82
Subtask 103 (O3): ECU E2 Core 2, Start 15, Finish 20
Subtask 104 (O4): ECU E3 Core 1, Start 61, Finish 63
Subtask 105 (O5): ECU E4 Core 1, Start 31, Finish 33
Subtask 106 (O6): ECU E2 Core 2, Start 82, Finish 92
Subtask 107 (O1): ECU E1 Core 1, Start 67, Finish 75
Subtask 108 (O2): ECU E1 Core 1, Start 18, Finish 28
Subtask 109 (O3): ECU E3 Core 1, Start 104, Finish 110
Subtask 110 (O4): ECU E1 Core 1, Start 61, Finish 67
Subtask 111 (O5): ECU E3 Core 2, Start 98, Finish 102
Subtask 112 (O6): ECU E3 Core 2, Start 8, Finish 13
Subtask 113 (O1): ECU E3 Core 2, Start 13, Finish 16
Subtask 114 (O2): ECU E2 Core 1, Start 67, Finish 70
Subtask 115 (O3): ECU E2 Core 1, Start 54, Finish 59
Subtask 116 (O4): ECU E3 Core 1, Start 63, Finish 65
Subtask 117 (O5): ECU E4 Core 2, Start 106, Finish 109
Subtask 118 (O6): ECU E3 Core 1, Start 26, Finish 30
Subtask 119 (O1): ECU E4 Core 2, Start 60, Finish 70
Subtask 120 (O2): ECU E3 Core 2, Start 16, Finish 24
Subtask 121 (O3): ECU E1 Core 1, Start 28, Finish 32
Subtask 122 (O4): ECU E2 Core 1, Start 70, Finish 74
Subtask 123 (O5): ECU E2 Core 2, Start 95, Finish 105
Subtask 124 (O6): ECU E4 Core 2, Start 48, Finish 60
Subtask 125 (O1): ECU E3 Core 1, Start 65, Finish 73
Subtask 126 (O2): ECU E4 Core 1, Start 74, Finish 77
Subtask 127 (O3): ECU E3 Core 2, Start 24, Finish 34
Subtask 128 (O4): ECU E3 Core 1, Start 86, Finish 96
Load Imbalance: 96
Objective Function Value: 0.1181
Elapsed Time (this testcase): 2.56 seconds
Peak Memory Usage (this testcase): 1.045 MB
=== TestCase 2 ===
Makespan: 174

Schedule:
Subtask 1 (O1): ECU E4 Core 1, Start 37, Finish 49
Subtask 2 (O2): ECU E2 Core 1, Start 38, Finish 48
Subtask 3 (O3): ECU E4 Core 2, Start 76, Finish 81
Subtask 4 (O4): ECU E2 Core 1, Start 0, Finish 4
Subtask 5 (O1): ECU E1 Core 1, Start 48, Finish 50
Subtask 5 (O1): ECU E3 Core 2, Start 48, Finish 50
Subtask 6 (O2): ECU E2 Core 2, Start 10, Finish 20
Subtask 7 (O3): ECU E4 Core 1, Start 0, Finish 10
Subtask 8 (O4): ECU E2 Core 1, Start 98, Finish 110
Subtask 9 (O5): ECU E1 Core 1, Start 50, Finish 56
Subtask 9 (O5): ECU E4 Core 1, Start 50, Finish 56
Subtask 10 (O1): ECU E3 Core 2, Start 124, Finish 134
Subtask 11 (O2): ECU E2 Core 2, Start 20, Finish 32
Subtask 12 (O3): ECU E4 Core 1, Start 10, Finish 13
Subtask 13 (O4): ECU E4 Core 1, Start 67, Finish 77
Subtask 14 (O1): ECU E3 Core 1, Start 89, Finish 101
Subtask 15 (O2): ECU E3 Core 1, Start 117, Finish 123
Subtask 16 (O3): ECU E4 Core 2, Start 150, Finish 156
Subtask 17 (O4): ECU E1 Core 1, Start 0, Finish 8
Subtask 18 (O5): ECU E1 Core 1, Start 56, Finish 58
Subtask 19 (O6): ECU E1 Core 1, Start 144, Finish 150
Subtask 20 (O1): ECU E4 Core 1, Start 13, Finish 16
Subtask 21 (O2): ECU E1 Core 1, Start 58, Finish 66
Subtask 22 (O3): ECU E2 Core 2, Start 87, Finish 92
Subtask 23 (O4): ECU E2 Core 2, Start 72, Finish 76
Subtask 24 (O5): ECU E3 Core 2, Start 50, Finish 62
Subtask 25 (O1): ECU E3 Core 1, Start 101, Finish 111
Subtask 26 (O2): ECU E3 Core 1, Start 36, Finish 40
Subtask 27 (O3): ECU E2 Core 2, Start 0, Finish 8
Subtask 28 (O4): ECU E1 Core 1, Start 150, Finish 162
Subtask 29 (O1): ECU E4 Core 2, Start 0, Finish 12
Subtask 30 (O2): ECU E4 Core 2, Start 34, Finish 46
Subtask 31 (O3): ECU E2 Core 1, Start 110, Finish 112
Subtask 32 (O4): ECU E2 Core 2, Start 32, Finish 34
Subtask 33 (O1): ECU E4 Core 1, Start 56, Finish 59
Subtask 34 (O2): ECU E1 Core 1, Start 108, Finish 114
Subtask 35 (O3): ECU E4 Core 2, Start 114, Finish 116
Subtask 36 (O4): ECU E4 Core 1, Start 16, Finish 22
Subtask 37 (O1): ECU E3 Core 1, Start 0, Finish 4
Subtask 38 (O2): ECU E3 Core 1, Start 4, Finish 6
Subtask 39 (O3): ECU E2 Core 1, Start 4, Finish 14
Subtask 40 (O4): ECU E4 Core 2, Start 81, Finish 87
Subtask 41 (O5): ECU E3 Core 1, Start 40, Finish 45
Subtask 42 (O6): ECU E2 Core 2, Start 34, Finish 37
Subtask 43 (O1): ECU E2 Core 2, Start 164, Finish 172
Subtask 44 (O2): ECU E4 Core 1, Start 77, Finish 85
Subtask 45 (O3): ECU E3 Core 1, Start 6, Finish 8
Subtask 46 (O4): ECU E3 Core 1, Start 45, Finish 55
Subtask 47 (O5): ECU E1 Core 1, Start 66, Finish 78
Subtask 48 (O6): ECU E2 Core 1, Start 162, Finish 164
Subtask 49 (O1): ECU E4 Core 2, Start 46, Finish 58
Subtask 50 (O2): ECU E2 Core 1, Start 14, Finish 19
Subtask 51 (O3): ECU E2 Core 1, Start 160, Finish 164
Subtask 52 (O4): ECU E4 Core 2, Start 87, Finish 91
Subtask 53 (O5): ECU E3 Core 1, Start 8, Finish 12
Subtask 54 (O6): ECU E3 Core 2, Start 134, Finish 136
Subtask 55 (O1): ECU E3 Core 1, Start 12, Finish 18
Subtask 56 (O2): ECU E4 Core 1, Start 110, Finish 116
Subtask 57 (O3): ECU E4 Core 2, Start 58, Finish 70
Subtask 58 (O4): ECU E3 Core 2, Start 102, Finish 106
Subtask 59 (O5): ECU E2 Core 1, Start 48, Finish 52
Subtask 60 (O6): ECU E3 Core 2, Start 0, Finish 4
Subtask 61 (O1): ECU E1 Core 1, Start 78, Finish 83
Subtask 61 (O1): ECU E3 Core 2, Start 78, Finish 83
Subtask 62 (O2): ECU E3 Core 2, Start 4, Finish 8
Subtask 63 (O3): ECU E4 Core 1, Start 85, Finish 97
Subtask 64 (O4): ECU E2 Core 2, Start 37, Finish 49
Subtask 65 (O1): ECU E4 Core 1, Start 22, Finish 25
Subtask 66 (O2): ECU E2 Core 1, Start 52, Finish 58
Subtask 67 (O3): ECU E4 Core 1, Start 97, Finish 107
Subtask 68 (O4): ECU E3 Core 1, Start 18, Finish 24
Subtask 69 (O5): ECU E3 Core 1, Start 55, Finish 60
Subtask 70 (O6): ECU E2 Core 2, Start 49, Finish 55
Subtask 71 (O1): ECU E3 Core 2, Start 83, Finish 93
Subtask 72 (O2): ECU E1 Core 1, Start 8, Finish 14
Subtask 73 (O3): ECU E3 Core 2, Start 106, Finish 109
Subtask 74 (O4): ECU E4 Core 2, Start 116, Finish 122
Subtask 75 (O5): ECU E3 Core 1, Start 123, Finish 131
Subtask 76 (O6): ECU E3 Core 1, Start 111, Finish 117
Subtask 77 (O1): ECU E4 Core 2, Start 12, Finish 22
Subtask 78 (O2): ECU E1 Core 1, Start 14, Finish 20
Subtask 79 (O3): ECU E2 Core 1, Start 118, Finish 124
Subtask 80 (O4): ECU E2 Core 1, Start 19, Finish 25
Subtask 81 (O5): ECU E2 Core 2, Start 76, Finish 80
Subtask 82 (O6): ECU E3 Core 1, Start 60, Finish 62
Subtask 83 (O1): ECU E1 Core 1, Start 20, Finish 30
Subtask 84 (O2): ECU E1 Core 1, Start 120, Finish 130
