Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 131

Schedule:
Subtask 1 (O1): ECU E4 Core 2, Start 67, Finish 71
Subtask 2 (O2): ECU E2 Core 2, Start 17, Finish 29
Subtask 3 (O3): ECU E4 Core 2, Start 0, Finish 4
Subtask 4 (O4): ECU E2 Core 2, Start 71, Finish 83
Subtask 5 (O1): ECU E3 Core 2, Start 20, Finish 30
Subtask 6 (O2): ECU E2 Core 2, Start 29, Finish 35
Subtask 7 (O3): ECU E3 Core 1, Start 58, Finish 62
Subtask 8 (O4): ECU E3 Core 1, Start 0, Finish 6
Subtask 9 (O5): ECU E2 Core 2, Start 83, Finish 89
Subtask 10 (O1): ECU E2 Core 1, Start 12, Finish 16
Subtask 11 (O2): ECU E2 Core 1, Start 72, Finish 75
Subtask 12 (O3): ECU E4 Core 1, Start 18, Finish 24
Subtask 13 (O4): ECU E3 Core 1, Start 6, Finish 12
Subtask 14 (O5): ECU E1 Core 1, Start 12, Finish 18
Subtask 15 (O1): ECU E1 Core 1, Start 18, Finish 22
Subtask 16 (O2): ECU E4 Core 2, Start 4, Finish 16
Subtask 17 (O3): ECU E4 Core 1, Start 16, Finish 18
Subtask 18 (O4): ECU E4 Core 2, Start 42, Finish 47
Subtask 19 (O5): ECU E3 Core 2, Start 48, Finish 54
Subtask 20 (O1): ECU E1 Core 1, Start 94, Finish 100
Subtask 21 (O2): ECU E4 Core 2, Start 16, Finish 22
Subtask 22 (O3): ECU E4 Core 2, Start 47, Finish 51
Subtask 23 (O4): ECU E1 Core 1, Start 0, Finish 10
Subtask 24 (O5): ECU E2 Core 2, Start 35, Finish 39
Subtask 25 (O6): ECU E3 Core 2, Start 54, Finish 56
Subtask 26 (O1): ECU E3 Core 1, Start 62, Finish 66
Subtask 27 (O2): ECU E2 Core 2, Start 39, Finish 44
Subtask 28 (O3): ECU E4 Core 2, Start 75, Finish 81
Subtask 29 (O4): ECU E3 Core 2, Start 0, Finish 6
Subtask 30 (O1): ECU E4 Core 1, Start 24, Finish 26
Subtask 31 (O2): ECU E2 Core 1, Start 16, Finish 20
Subtask 32 (O3): ECU E2 Core 1, Start 0, Finish 6
Subtask 33 (O4): ECU E2 Core 1, Start 20, Finish 22
Subtask 34 (O5): ECU E2 Core 1, Start 75, Finish 81
Subtask 35 (O1): ECU E4 Core 2, Start 81, Finish 85
Subtask 36 (O2): ECU E1 Core 1, Start 75, Finish 79
Subtask 37 (O3): ECU E1 Core 1, Start 22, Finish 28
Subtask 38 (O4): ECU E3 Core 1, Start 12, Finish 22
Subtask 39 (O1): ECU E1 Core 1, Start 79, Finish 85
Subtask 40 (O2): ECU E3 Core 1, Start 22, Finish 27
Subtask 41 (O3): ECU E4 Core 1, Start 31, Finish 35
Subtask 42 (O4): ECU E1 Core 1, Start 28, Finish 31
Subtask 43 (O5): ECU E3 Core 2, Start 85, Finish 90
Subtask 44 (O6): ECU E4 Core 1, Start 35, Finish 38
Subtask 45 (O1): ECU E3 Core 1, Start 66, Finish 68
Subtask 46 (O2): ECU E3 Core 2, Start 30, Finish 40
Subtask 47 (O3): ECU E3 Core 1, Start 68, Finish 70
Subtask 48 (O4): ECU E3 Core 1, Start 76, Finish 80
Subtask 49 (O5): ECU E4 Core 1, Start 0, Finish 10
Subtask 50 (O6): ECU E3 Core 1, Start 127, Finish 131
Subtask 51 (O1): ECU E3 Core 2, Start 6, Finish 8
Subtask 52 (O2): ECU E1 Core 1, Start 31, Finish 34
Subtask 53 (O3): ECU E1 Core 1, Start 85, Finish 90
Subtask 54 (O4): ECU E1 Core 1, Start 34, Finish 36
Subtask 55 (O5): ECU E4 Core 1, Start 90, Finish 102
Subtask 56 (O1): ECU E1 Core 1, Start 100, Finish 106
Subtask 57 (O2): ECU E3 Core 2, Start 56, Finish 64
Subtask 58 (O3): ECU E4 Core 2, Start 51, Finish 55
Subtask 59 (O4): ECU E4 Core 2, Start 55, Finish 63
Subtask 60 (O5): ECU E2 Core 2, Start 0, Finish 5
Subtask 61 (O1): ECU E1 Core 1, Start 90, Finish 94
Subtask 62 (O2): ECU E3 Core 1, Start 33, Finish 39
Subtask 63 (O3): ECU E4 Core 2, Start 63, Finish 67
Subtask 64 (O4): ECU E4 Core 2, Start 22, Finish 26
Subtask 65 (O5): ECU E2 Core 2, Start 5, Finish 7
Subtask 66 (O6): ECU E4 Core 1, Start 10, Finish 12
Subtask 67 (O1): ECU E1 Core 1, Start 48, Finish 56
Subtask 68 (O2): ECU E1 Core 1, Start 36, Finish 48
Subtask 69 (O3): ECU E3 Core 2, Start 8, Finish 16
Subtask 70 (O4): ECU E2 Core 2, Start 7, Finish 17
Subtask 71 (O5): ECU E2 Core 2, Start 44, Finish 52
Subtask 72 (O6): ECU E2 Core 1, Start 56, Finish 66
Subtask 73 (O1): ECU E4 Core 2, Start 26, Finish 30
Subtask 74 (O2): ECU E3 Core 1, Start 39, Finish 44
Subtask 75 (O3): ECU E4 Core 1, Start 102, Finish 112
Subtask 76 (O4): ECU E3 Core 2, Start 40, Finish 46
Subtask 77 (O5): ECU E2 Core 2, Start 68, Finish 70
Subtask 78 (O1): ECU E2 Core 1, Start 106, Finish 112
Subtask 79 (O2): ECU E3 Core 1, Start 27, Finish 33
Subtask 80 (O3): ECU E2 Core 1, Start 33, Finish 43
Subtask 81 (O4): ECU E2 Core 2, Start 89, Finish 93
Subtask 82 (O5): ECU E4 Core 1, Start 43, Finish 51
Subtask 83 (O6): ECU E1 Core 1, Start 112, Finish 118
Subtask 84 (O1): ECU E4 Core 2, Start 71, Finish 75
Subtask 85 (O2): ECU E2 Core 2, Start 52, Finish 58
Subtask 86 (O3): ECU E2 Core 1, Start 81, Finish 84
Subtask 87 (O4): ECU E4 Core 1, Start 62, Finish 70
Subtask 88 (O5): ECU E1 Core 1, Start 56, Finish 62
Subtask 89 (O6): ECU E3 Core 2, Start 16, Finish 20
Subtask 90 (O1): ECU E3 Core 1, Start 112, Finish 124
Subtask 91 (O2): ECU E1 Core 1, Start 62, Finish 67
Subtask 92 (O3): ECU E3 Core 1, Start 70, Finish 76
Subtask 93 (O4): ECU E3 Core 1, Start 44, Finish 48
Subtask 94 (O5): ECU E4 Core 2, Start 30, Finish 36
Subtask 95 (O1): ECU E3 Core 1, Start 124, Finish 127
Subtask 96 (O2): ECU E2 Core 1, Start 68, Finish 72
Subtask 97 (O3): ECU E2 Core 2, Start 58, Finish 68
Subtask 98 (O4): ECU E4 Core 2, Start 36, Finish 42
Subtask 99 (O5): ECU E3 Core 1, Start 48, Finish 58
Subtask 100 (O1): ECU E4 Core 1, Start 12, Finish 14
Subtask 101 (O2): ECU E3 Core 2, Start 46, Finish 48
Subtask 102 (O3): ECU E1 Core 1, Start 67, Finish 75
Subtask 103 (O4): ECU E4 Core 1, Start 75, Finish 85
Load Imbalance: 41
Objective Function Value: 0.0693
Elapsed Time (this testcase): 3.13 seconds
Peak Memory Usage (this testcase): 0.841 MB
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 2 ===
Makespan: 112

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 33, Finish 35
Subtask 2 (O2): ECU E3 Core 1, Start 0, Finish 3
Subtask 3 (O3): ECU E2 Core 2, Start 3, Finish 11
Subtask 4 (O4): ECU E4 Core 1, Start 60, Finish 63
Subtask 5 (O5): ECU E1 Core 1, Start 27, Finish 33
Subtask 5 (O5): ECU E3 Core 1, Start 27, Finish 33
Subtask 6 (O1): ECU E4 Core 2, Start 0, Finish 4
Subtask 7 (O2): ECU E2 Core 1, Start 50, Finish 54
Subtask 8 (O3): ECU E4 Core 2, Start 20, Finish 28
Subtask 9 (O4): ECU E4 Core 1, Start 83, Finish 85
Subtask 10 (O5): ECU E1 Core 1, Start 0, Finish 4
Subtask 11 (O6): ECU E3 Core 1, Start 74, Finish 82
Subtask 12 (O1): ECU E3 Core 1, Start 59, Finish 63
Subtask 13 (O2): ECU E1 Core 1, Start 35, Finish 45
Subtask 14 (O3): ECU E4 Core 2, Start 4, Finish 9
Subtask 15 (O4): ECU E4 Core 1, Start 32, Finish 38
Subtask 16 (O5): ECU E4 Core 2, Start 76, Finish 81
Subtask 17 (O1): ECU E3 Core 1, Start 33, Finish 38
Subtask 18 (O2): ECU E2 Core 1, Start 0, Finish 5
Subtask 19 (O3): ECU E2 Core 2, Start 88, Finish 93
Subtask 20 (O4): ECU E2 Core 1, Start 54, Finish 60
Subtask 21 (O5): ECU E3 Core 1, Start 38, Finish 40
Subtask 22 (O6): ECU E3 Core 2, Start 0, Finish 5
Subtask 23 (O1): ECU E3 Core 1, Start 63, Finish 65
Subtask 24 (O2): ECU E1 Core 1, Start 45, Finish 47
