Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 167

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 26, Finish 38
Subtask 2 (O2): ECU E4 Core 1, Start 14, Finish 18
Subtask 3 (O3): ECU E4 Core 1, Start 55, Finish 67
Subtask 4 (O4): ECU E3 Core 1, Start 0, Finish 8
Subtask 5 (O1): ECU E1 Core 1, Start 38, Finish 46
Subtask 6 (O2): ECU E1 Core 1, Start 101, Finish 107
Subtask 7 (O3): ECU E3 Core 1, Start 24, Finish 30
Subtask 8 (O4): ECU E3 Core 1, Start 8, Finish 13
Subtask 9 (O5): ECU E4 Core 1, Start 107, Finish 115
Subtask 10 (O6): ECU E4 Core 2, Start 56, Finish 68
Subtask 11 (O1): ECU E2 Core 1, Start 23, Finish 29
Subtask 12 (O2): ECU E1 Core 1, Start 0, Finish 2
Subtask 13 (O3): ECU E4 Core 1, Start 0, Finish 6
Subtask 14 (O4): ECU E3 Core 1, Start 30, Finish 33
Subtask 15 (O5): ECU E2 Core 2, Start 56, Finish 68
Subtask 16 (O6): ECU E4 Core 1, Start 115, Finish 119
Subtask 17 (O1): ECU E4 Core 1, Start 119, Finish 121
Subtask 18 (O2): ECU E1 Core 1, Start 2, Finish 12
Subtask 19 (O3): ECU E1 Core 1, Start 46, Finish 49
Subtask 20 (O4): ECU E4 Core 1, Start 18, Finish 20
Subtask 21 (O5): ECU E3 Core 1, Start 79, Finish 81
Subtask 22 (O6): ECU E4 Core 1, Start 20, Finish 22
Subtask 23 (O1): ECU E2 Core 2, Start 0, Finish 5
Subtask 24 (O2): ECU E2 Core 2, Start 89, Finish 92
Subtask 25 (O3): ECU E4 Core 2, Start 0, Finish 8
Subtask 26 (O4): ECU E1 Core 1, Start 49, Finish 53
Subtask 27 (O5): ECU E3 Core 1, Start 81, Finish 89
Subtask 28 (O6): ECU E4 Core 1, Start 22, Finish 26
Subtask 29 (O1): ECU E3 Core 1, Start 33, Finish 35
Subtask 30 (O2): ECU E1 Core 1, Start 53, Finish 58
Subtask 31 (O3): ECU E3 Core 2, Start 108, Finish 112
Subtask 32 (O4): ECU E4 Core 2, Start 8, Finish 10
Subtask 33 (O5): ECU E3 Core 1, Start 89, Finish 94
Subtask 34 (O1): ECU E4 Core 2, Start 68, Finish 78
Subtask 35 (O2): ECU E3 Core 1, Start 35, Finish 37
Subtask 36 (O3): ECU E3 Core 2, Start 78, Finish 90
Subtask 37 (O4): ECU E1 Core 1, Start 12, Finish 14
Subtask 38 (O1): ECU E1 Core 1, Start 107, Finish 112
Subtask 39 (O2): ECU E3 Core 1, Start 37, Finish 45
Subtask 40 (O3): ECU E2 Core 1, Start 0, Finish 4
Subtask 41 (O4): ECU E1 Core 1, Start 58, Finish 68
Subtask 42 (O1): ECU E3 Core 2, Start 0, Finish 12
Subtask 43 (O2): ECU E3 Core 2, Start 12, Finish 16
Subtask 44 (O3): ECU E4 Core 2, Start 87, Finish 95
Subtask 45 (O4): ECU E1 Core 1, Start 135, Finish 145
Subtask 46 (O5): ECU E4 Core 1, Start 26, Finish 32
Subtask 47 (O6): ECU E2 Core 1, Start 29, Finish 35
Subtask 48 (O1): ECU E2 Core 1, Start 72, Finish 76
Subtask 49 (O2): ECU E3 Core 2, Start 16, Finish 19
Subtask 50 (O3): ECU E3 Core 1, Start 94, Finish 99
Subtask 51 (O4): ECU E3 Core 2, Start 37, Finish 47
Subtask 52 (O5): ECU E2 Core 2, Start 99, Finish 111
Subtask 53 (O6): ECU E2 Core 1, Start 35, Finish 43
Subtask 54 (O1): ECU E2 Core 1, Start 112, Finish 115
Subtask 55 (O2): ECU E2 Core 2, Start 5, Finish 8
Subtask 56 (O3): ECU E3 Core 2, Start 145, Finish 150
Subtask 57 (O4): ECU E2 Core 2, Start 16, Finish 21
Subtask 58 (O5): ECU E1 Core 1, Start 68, Finish 72
Subtask 59 (O1): ECU E4 Core 2, Start 123, Finish 129
Subtask 60 (O2): ECU E3 Core 1, Start 45, Finish 53
Subtask 61 (O3): ECU E3 Core 2, Start 19, Finish 29
Subtask 62 (O4): ECU E2 Core 2, Start 68, Finish 78
Subtask 63 (O5): ECU E2 Core 2, Start 111, Finish 123
Subtask 64 (O6): ECU E2 Core 1, Start 43, Finish 46
Subtask 65 (O1): ECU E4 Core 2, Start 99, Finish 104
Subtask 66 (O2): ECU E4 Core 2, Start 10, Finish 20
Subtask 67 (O3): ECU E2 Core 1, Start 76, Finish 80
Subtask 68 (O4): ECU E2 Core 2, Start 21, Finish 24
Subtask 69 (O5): ECU E4 Core 1, Start 32, Finish 36
Subtask 70 (O1): ECU E3 Core 2, Start 90, Finish 96
Subtask 71 (O2): ECU E2 Core 1, Start 46, Finish 50
