Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 187

Schedule:
Subtask 1 (O1): ECU E2 Core 2, Start 84, Finish 89
Subtask 2 (O2): ECU E4 Core 1, Start 33, Finish 39
Subtask 3 (O3): ECU E1 Core 1, Start 0, Finish 8
Subtask 4 (O4): ECU E3 Core 1, Start 0, Finish 3
Subtask 5 (O5): ECU E2 Core 1, Start 120, Finish 130
Subtask 6 (O6): ECU E2 Core 1, Start 106, Finish 109
Subtask 7 (O1): ECU E3 Core 2, Start 15, Finish 18
Subtask 8 (O2): ECU E3 Core 1, Start 124, Finish 126
Subtask 9 (O3): ECU E2 Core 1, Start 0, Finish 12
Subtask 10 (O4): ECU E2 Core 2, Start 133, Finish 143
Subtask 11 (O5): ECU E4 Core 1, Start 0, Finish 2
Subtask 12 (O6): ECU E1 Core 1, Start 98, Finish 101
Subtask 12 (O6): ECU E3 Core 1, Start 98, Finish 101
Subtask 13 (O1): ECU E3 Core 2, Start 92, Finish 96
Subtask 14 (O2): ECU E4 Core 1, Start 39, Finish 43
Subtask 15 (O3): ECU E1 Core 1, Start 26, Finish 34
Subtask 16 (O4): ECU E3 Core 1, Start 3, Finish 13
Subtask 17 (O1): ECU E3 Core 1, Start 13, Finish 17
Subtask 18 (O2): ECU E3 Core 1, Start 126, Finish 134
Subtask 19 (O3): ECU E1 Core 1, Start 101, Finish 107
Subtask 20 (O4): ECU E1 Core 1, Start 34, Finish 44
Subtask 21 (O1): ECU E4 Core 2, Start 0, Finish 10
Subtask 22 (O2): ECU E1 Core 1, Start 44, Finish 56
Subtask 23 (O3): ECU E2 Core 1, Start 130, Finish 135
Subtask 24 (O4): ECU E1 Core 1, Start 56, Finish 66
Subtask 25 (O5): ECU E4 Core 2, Start 96, Finish 101
Subtask 26 (O1): ECU E1 Core 1, Start 153, Finish 156
Subtask 27 (O2): ECU E2 Core 1, Start 12, Finish 14
Subtask 28 (O3): ECU E2 Core 2, Start 89, Finish 93
Subtask 29 (O4): ECU E3 Core 2, Start 18, Finish 24
Subtask 30 (O5): ECU E3 Core 2, Start 24, Finish 30
Subtask 31 (O1): ECU E2 Core 1, Start 38, Finish 48
Subtask 32 (O2): ECU E1 Core 1, Start 156, Finish 164
Subtask 33 (O3): ECU E4 Core 2, Start 10, Finish 18
Subtask 34 (O4): ECU E2 Core 1, Start 109, Finish 114
Subtask 35 (O1): ECU E2 Core 1, Start 114, Finish 120
Subtask 36 (O2): ECU E2 Core 1, Start 48, Finish 54
Subtask 37 (O3): ECU E4 Core 1, Start 2, Finish 10
Subtask 38 (O4): ECU E2 Core 2, Start 17, Finish 29
Subtask 39 (O1): ECU E3 Core 1, Start 70, Finish 80
Subtask 40 (O2): ECU E2 Core 1, Start 14, Finish 26
Subtask 41 (O3): ECU E2 Core 2, Start 29, Finish 31
Subtask 42 (O4): ECU E2 Core 1, Start 54, Finish 59
Subtask 43 (O5): ECU E3 Core 1, Start 101, Finish 104
Subtask 44 (O6): ECU E4 Core 1, Start 10, Finish 16
Subtask 45 (O1): ECU E2 Core 2, Start 144, Finish 147
Subtask 46 (O2): ECU E4 Core 1, Start 124, Finish 127
Subtask 47 (O3): ECU E2 Core 1, Start 59, Finish 62
Subtask 48 (O4): ECU E3 Core 1, Start 17, Finish 21
Subtask 49 (O5): ECU E3 Core 1, Start 134, Finish 144
Subtask 50 (O6): ECU E3 Core 1, Start 104, Finish 114
Subtask 51 (O1): ECU E2 Core 2, Start 0, Finish 5
Subtask 52 (O2): ECU E4 Core 2, Start 43, Finish 47
Subtask 53 (O3): ECU E3 Core 1, Start 80, Finish 86
Subtask 54 (O4): ECU E3 Core 2, Start 30, Finish 36
Subtask 55 (O5): ECU E3 Core 2, Start 96, Finish 102
Subtask 56 (O6): ECU E2 Core 1, Start 135, Finish 140
Subtask 57 (O1): ECU E3 Core 2, Start 21, Finish 33
Subtask 58 (O2): ECU E3 Core 2, Start 101, Finish 105
Subtask 59 (O3): ECU E3 Core 2, Start 44, Finish 52
