Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 155

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 37, Finish 49
Subtask 2 (O2): ECU E1 Core 1, Start 49, Finish 53
Subtask 3 (O3): ECU E4 Core 1, Start 100, Finish 112
Subtask 4 (O4): ECU E4 Core 1, Start 0, Finish 8
Subtask 5 (O1): ECU E2 Core 1, Start 15, Finish 23
Subtask 6 (O2): ECU E1 Core 1, Start 97, Finish 103
Subtask 7 (O3): ECU E4 Core 1, Start 64, Finish 70
Subtask 8 (O4): ECU E4 Core 1, Start 8, Finish 13
Subtask 9 (O5): ECU E2 Core 2, Start 103, Finish 111
Subtask 10 (O6): ECU E3 Core 1, Start 13, Finish 25
Subtask 11 (O1): ECU E2 Core 2, Start 13, Finish 19
Subtask 12 (O2): ECU E2 Core 2, Start 0, Finish 2
Subtask 13 (O3): ECU E3 Core 2, Start 0, Finish 6
Subtask 14 (O4): ECU E3 Core 2, Start 44, Finish 47
Subtask 15 (O5): ECU E1 Core 1, Start 103, Finish 115
Subtask 16 (O6): ECU E4 Core 2, Start 115, Finish 119
Subtask 17 (O1): ECU E4 Core 2, Start 119, Finish 121
Subtask 18 (O2): ECU E1 Core 1, Start 0, Finish 10
Subtask 19 (O3): ECU E4 Core 2, Start 13, Finish 16
Subtask 20 (O4): ECU E3 Core 1, Start 25, Finish 27
Subtask 21 (O5): ECU E2 Core 2, Start 72, Finish 74
Subtask 22 (O6): ECU E2 Core 1, Start 23, Finish 25
Subtask 23 (O1): ECU E2 Core 1, Start 0, Finish 5
Subtask 24 (O2): ECU E2 Core 1, Start 93, Finish 96
Subtask 25 (O3): ECU E3 Core 2, Start 6, Finish 14
Subtask 26 (O4): ECU E2 Core 1, Start 25, Finish 29
Subtask 27 (O5): ECU E3 Core 1, Start 72, Finish 80
Subtask 28 (O6): ECU E4 Core 2, Start 16, Finish 20
Subtask 29 (O1): ECU E1 Core 1, Start 53, Finish 55
Subtask 30 (O2): ECU E1 Core 1, Start 55, Finish 60
Subtask 31 (O3): ECU E4 Core 2, Start 121, Finish 125
Subtask 32 (O4): ECU E4 Core 2, Start 0, Finish 2
Subtask 33 (O5): ECU E3 Core 1, Start 80, Finish 85
Subtask 34 (O1): ECU E3 Core 2, Start 47, Finish 57
Subtask 35 (O2): ECU E4 Core 2, Start 20, Finish 22
Subtask 36 (O3): ECU E2 Core 1, Start 64, Finish 76
Subtask 37 (O4): ECU E2 Core 1, Start 5, Finish 7
Subtask 38 (O1): ECU E1 Core 1, Start 115, Finish 120
Subtask 39 (O2): ECU E3 Core 2, Start 57, Finish 65
Subtask 40 (O3): ECU E2 Core 1, Start 7, Finish 11
Subtask 41 (O4): ECU E2 Core 2, Start 19, Finish 29
Subtask 42 (O1): ECU E4 Core 1, Start 13, Finish 25
Subtask 43 (O2): ECU E4 Core 1, Start 25, Finish 29
Subtask 44 (O3): ECU E3 Core 1, Start 85, Finish 93
Subtask 45 (O4): ECU E4 Core 1, Start 116, Finish 126
Subtask 46 (O5): ECU E1 Core 1, Start 60, Finish 66
Subtask 47 (O6): ECU E2 Core 1, Start 29, Finish 35
Subtask 48 (O1): ECU E2 Core 1, Start 76, Finish 80
Subtask 49 (O2): ECU E4 Core 2, Start 2, Finish 5
Subtask 50 (O3): ECU E3 Core 1, Start 93, Finish 98
Subtask 51 (O4): ECU E3 Core 1, Start 27, Finish 37
