Started parsing...
Finished parsing.
=== TestCase 1 ===
Makespan: 140

Schedule:
Subtask 1 (O1): ECU E4 Core 2, Start 0, Finish 4
Subtask 2 (O2): ECU E4 Core 2, Start 4, Finish 16
Subtask 3 (O3): ECU E3 Core 1, Start 6, Finish 10
Subtask 4 (O4): ECU E2 Core 1, Start 10, Finish 22
Subtask 5 (O1): ECU E3 Core 1, Start 10, Finish 20
Subtask 6 (O2): ECU E4 Core 1, Start 12, Finish 18
Subtask 7 (O3): ECU E4 Core 2, Start 20, Finish 24
Subtask 8 (O4): ECU E4 Core 1, Start 18, Finish 24
Subtask 9 (O5): ECU E3 Core 1, Start 24, Finish 30
Subtask 10 (O1): ECU E2 Core 1, Start 22, Finish 26
Subtask 11 (O2): ECU E3 Core 2, Start 24, Finish 27
Subtask 12 (O3): ECU E4 Core 1, Start 26, Finish 32
Subtask 13 (O4): ECU E4 Core 2, Start 24, Finish 30
Subtask 14 (O5): ECU E1 Core 1, Start 30, Finish 36
Subtask 15 (O1): ECU E2 Core 1, Start 26, Finish 30
Subtask 16 (O2): ECU E3 Core 2, Start 27, Finish 39
Subtask 17 (O3): ECU E3 Core 1, Start 39, Finish 41
Subtask 18 (O4): ECU E4 Core 2, Start 39, Finish 44
Subtask 19 (O5): ECU E2 Core 1, Start 44, Finish 50
Subtask 20 (O1): ECU E4 Core 1, Start 32, Finish 38
Subtask 21 (O2): ECU E4 Core 1, Start 38, Finish 44
Subtask 22 (O3): ECU E3 Core 2, Start 39, Finish 43
Subtask 23 (O4): ECU E1 Core 1, Start 36, Finish 46
Subtask 24 (O5): ECU E1 Core 1, Start 46, Finish 50
Subtask 25 (O6): ECU E3 Core 1, Start 50, Finish 52
Subtask 26 (O1): ECU E3 Core 2, Start 43, Finish 47
Subtask 27 (O2): ECU E4 Core 1, Start 44, Finish 49
Subtask 28 (O3): ECU E4 Core 2, Start 47, Finish 53
Subtask 29 (O4): ECU E3 Core 2, Start 47, Finish 53
Subtask 30 (O1): ECU E4 Core 1, Start 49, Finish 51
Subtask 31 (O2): ECU E1 Core 1, Start 50, Finish 54
Subtask 32 (O3): ECU E2 Core 1, Start 50, Finish 56
Subtask 33 (O4): ECU E2 Core 1, Start 56, Finish 58
Subtask 34 (O5): ECU E4 Core 1, Start 58, Finish 64
Subtask 35 (O1): ECU E3 Core 1, Start 52, Finish 56
Subtask 36 (O2): ECU E3 Core 2, Start 53, Finish 57
Subtask 37 (O3): ECU E1 Core 1, Start 54, Finish 60
Subtask 38 (O4): ECU E4 Core 2, Start 53, Finish 63
Subtask 39 (O1): ECU E2 Core 1, Start 58, Finish 64
Subtask 40 (O2): ECU E3 Core 1, Start 56, Finish 61
Subtask 41 (O3): ECU E3 Core 2, Start 57, Finish 61
Subtask 42 (O4): ECU E1 Core 1, Start 61, Finish 64
Subtask 43 (O5): ECU E3 Core 1, Start 64, Finish 69
Subtask 44 (O6): ECU E3 Core 2, Start 64, Finish 67
Subtask 45 (O1): ECU E4 Core 2, Start 63, Finish 65
Subtask 46 (O2): ECU E2 Core 1, Start 64, Finish 74
Subtask 47 (O3): ECU E4 Core 1, Start 74, Finish 76
Subtask 48 (O4): ECU E4 Core 2, Start 65, Finish 69
Subtask 49 (O5): ECU E3 Core 2, Start 67, Finish 77
Subtask 50 (O6): ECU E1 Core 1, Start 77, Finish 81
Subtask 51 (O1): ECU E3 Core 1, Start 69, Finish 71
Subtask 52 (O2): ECU E2 Core 1, Start 74, Finish 77
Subtask 53 (O3): ECU E4 Core 2, Start 69, Finish 74
Subtask 54 (O4): ECU E2 Core 1, Start 77, Finish 79
Subtask 55 (O5): ECU E3 Core 1, Start 77, Finish 89
Subtask 56 (O1): ECU E4 Core 2, Start 74, Finish 80
Subtask 57 (O2): ECU E4 Core 1, Start 76, Finish 84
Subtask 58 (O3): ECU E3 Core 2, Start 77, Finish 81
Subtask 59 (O4): ECU E4 Core 2, Start 80, Finish 88
Subtask 60 (O5): ECU E2 Core 1, Start 79, Finish 84
Subtask 61 (O1): ECU E1 Core 1, Start 81, Finish 85
Subtask 62 (O2): ECU E3 Core 2, Start 81, Finish 87
Subtask 63 (O3): ECU E2 Core 1, Start 84, Finish 88
Subtask 64 (O4): ECU E4 Core 1, Start 84, Finish 88
Subtask 65 (O5): ECU E1 Core 1, Start 85, Finish 87
Subtask 66 (O6): ECU E3 Core 2, Start 87, Finish 89
Subtask 67 (O1): ECU E1 Core 1, Start 87, Finish 95
Subtask 68 (O2): ECU E2 Core 1, Start 88, Finish 100
Subtask 69 (O3): ECU E4 Core 1, Start 88, Finish 96
Subtask 70 (O4): ECU E1 Core 1, Start 95, Finish 105
Subtask 71 (O5): ECU E4 Core 2, Start 96, Finish 104
Subtask 72 (O6): ECU E3 Core 1, Start 104, Finish 114
Subtask 73 (O1): ECU E3 Core 2, Start 89, Finish 93
Subtask 74 (O2): ECU E3 Core 2, Start 93, Finish 98
Subtask 75 (O3): ECU E4 Core 1, Start 96, Finish 106
Subtask 76 (O4): ECU E3 Core 2, Start 98, Finish 104
Subtask 77 (O5): ECU E2 Core 1, Start 100, Finish 102
Subtask 78 (O1): ECU E2 Core 1, Start 0, Finish 6
Subtask 79 (O2): ECU E3 Core 1, Start 0, Finish 6
Subtask 80 (O3): ECU E1 Core 1, Start 6, Finish 16
Subtask 81 (O4): ECU E2 Core 1, Start 102, Finish 106
Subtask 82 (O5): ECU E3 Core 2, Start 16, Finish 24
Subtask 83 (O6): ECU E4 Core 1, Start 6, Finish 12
Subtask 84 (O1): ECU E3 Core 2, Start 104, Finish 108
Subtask 85 (O2): ECU E4 Core 2, Start 104, Finish 110
Subtask 86 (O3): ECU E2 Core 1, Start 110, Finish 113
Subtask 87 (O4): ECU E4 Core 1, Start 106, Finish 114
Subtask 88 (O5): ECU E1 Core 1, Start 105, Finish 111
Subtask 89 (O6): ECU E3 Core 2, Start 108, Finish 112
Subtask 90 (O1): ECU E4 Core 2, Start 110, Finish 122
Subtask 91 (O2): ECU E1 Core 1, Start 111, Finish 116
Subtask 92 (O3): ECU E3 Core 2, Start 112, Finish 118
Subtask 93 (O4): ECU E3 Core 1, Start 114, Finish 118
Subtask 94 (O5): ECU E4 Core 1, Start 114, Finish 120
Subtask 95 (O1): ECU E1 Core 1, Start 116, Finish 119
Subtask 96 (O2): ECU E2 Core 1, Start 113, Finish 117
Subtask 97 (O3): ECU E2 Core 1, Start 117, Finish 127
Subtask 98 (O4): ECU E3 Core 1, Start 118, Finish 124
Subtask 99 (O5): ECU E3 Core 2, Start 124, Finish 134
Subtask 100 (O1): ECU E4 Core 1, Start 120, Finish 122
Subtask 101 (O2): ECU E4 Core 1, Start 122, Finish 124
Subtask 102 (O3): ECU E1 Core 1, Start 122, Finish 130
Subtask 103 (O4): ECU E4 Core 2, Start 130, Finish 140
Load Imbalance: 114
Objective Function Value: 0.1909
Elapsed Time (this testcase): 0.02 seconds
Peak Memory Usage (this testcase): 0.047 MB
=== TestCase 2 ===
Makespan: 165

Schedule:
Subtask 1 (O1): ECU E2 Core 1, Start 2, Finish 4
Subtask 2 (O2): ECU E3 Core 2, Start 8, Finish 11
Subtask 3 (O3): ECU E2 Core 1, Start 11, Finish 19
Subtask 4 (O4): ECU E3 Core 1, Start 19, Finish 22
Subtask 5 (O5): ECU E1 Core 1, Start 11, Finish 17
Subtask 5 (O5): ECU E3 Core 2, Start 11, Finish 17
Subtask 6 (O1): ECU E4 Core 2, Start 11, Finish 15
Subtask 7 (O2): ECU E4 Core 1, Start 12, Finish 16
Subtask 8 (O3): ECU E4 Core 2, Start 15, Finish 23
Subtask 9 (O4): ECU E4 Core 1, Start 23, Finish 25
Subtask 10 (O5): ECU E1 Core 1, Start 17, Finish 21
Subtask 11 (O6): ECU E3 Core 2, Start 17, Finish 25
Subtask 12 (O1): ECU E3 Core 1, Start 22, Finish 26
Subtask 13 (O2): ECU E2 Core 1, Start 19, Finish 29
Subtask 14 (O3): ECU E4 Core 2, Start 23, Finish 28
Subtask 15 (O4): ECU E1 Core 1, Start 28, Finish 34
Subtask 16 (O5): ECU E3 Core 2, Start 34, Finish 39
Subtask 17 (O1): ECU E4 Core 1, Start 25, Finish 30
Subtask 18 (O2): ECU E3 Core 1, Start 26, Finish 31
Subtask 19 (O3): ECU E4 Core 2, Start 28, Finish 33
Subtask 20 (O4): ECU E2 Core 1, Start 30, Finish 36
Subtask 21 (O5): ECU E4 Core 1, Start 30, Finish 32
Subtask 22 (O6): ECU E3 Core 1, Start 31, Finish 36
Subtask 23 (O1): ECU E4 Core 1, Start 32, Finish 34
Subtask 24 (O2): ECU E4 Core 2, Start 33, Finish 35
Subtask 25 (O3): ECU E4 Core 1, Start 34, Finish 40
Subtask 26 (O4): ECU E1 Core 1, Start 34, Finish 38
Subtask 27 (O5): ECU E4 Core 2, Start 35, Finish 39
Subtask 28 (O6): ECU E3 Core 1, Start 40, Finish 44
Subtask 29 (O1): ECU E2 Core 1, Start 36, Finish 48
Subtask 30 (O2): ECU E3 Core 2, Start 48, Finish 58
Subtask 31 (O3): ECU E4 Core 2, Start 39, Finish 51
Subtask 32 (O4): ECU E4 Core 1, Start 51, Finish 56
Subtask 33 (O5): ECU E3 Core 1, Start 51, Finish 63
Subtask 34 (O1): ECU E4 Core 2, Start 51, Finish 61
Subtask 35 (O2): ECU E1 Core 1, Start 61, Finish 64
Subtask 36 (O3): ECU E2 Core 1, Start 61, Finish 67
Subtask 37 (O4): ECU E4 Core 1, Start 67, Finish 73
Subtask 38 (O5): ECU E1 Core 1, Start 64, Finish 67
Subtask 38 (O5): ECU E3 Core 2, Start 64, Finish 67
Subtask 39 (O1): ECU E4 Core 2, Start 61, Finish 66
Subtask 40 (O2): ECU E3 Core 1, Start 63, Finish 71
Subtask 41 (O3): ECU E4 Core 2, Start 66, Finish 72
Subtask 42 (O4): ECU E1 Core 1, Start 67, Finish 71
Subtask 43 (O5): ECU E3 Core 2, Start 72, Finish 82
Subtask 44 (O6): ECU E2 Core 1, Start 67, Finish 69
Subtask 45 (O1): ECU E3 Core 1, Start 71, Finish 83
Subtask 46 (O2): ECU E2 Core 1, Start 83, Finish 85
Subtask 47 (O3): ECU E4 Core 2, Start 85, Finish 87
