Started parsing...
Finished parsing.
=== TestCase 1 ===
Makespan: 257

Schedule:
Subtask 1 (O1): ECU E2 Core 1, Start 15, Finish 20
Subtask 2 (O2): ECU E4 Core 1, Start 0, Finish 6
Subtask 3 (O3): ECU E2 Core 1, Start 20, Finish 28
Subtask 4 (O4): ECU E4 Core 2, Start 0, Finish 3
Subtask 5 (O5): ECU E4 Core 2, Start 28, Finish 38
Subtask 6 (O6): ECU E1 Core 1, Start 22, Finish 25
Subtask 7 (O1): ECU E4 Core 1, Start 6, Finish 9
Subtask 8 (O2): ECU E4 Core 1, Start 9, Finish 11
Subtask 9 (O3): ECU E1 Core 1, Start 25, Finish 37
Subtask 10 (O4): ECU E3 Core 1, Start 37, Finish 47
Subtask 11 (O5): ECU E4 Core 1, Start 11, Finish 13
Subtask 12 (O6): ECU E2 Core 1, Start 28, Finish 31
Subtask 13 (O1): ECU E4 Core 1, Start 13, Finish 17
Subtask 14 (O2): ECU E4 Core 1, Start 17, Finish 21
Subtask 15 (O3): ECU E4 Core 1, Start 21, Finish 29
Subtask 16 (O4): ECU E3 Core 2, Start 27, Finish 37
Subtask 17 (O1): ECU E4 Core 1, Start 29, Finish 33
Subtask 18 (O2): ECU E2 Core 1, Start 33, Finish 41
Subtask 19 (O3): ECU E4 Core 1, Start 33, Finish 39
Subtask 20 (O4): ECU E1 Core 1, Start 37, Finish 47
Subtask 21 (O1): ECU E3 Core 1, Start 0, Finish 10
Subtask 22 (O2): ECU E1 Core 1, Start 10, Finish 22
Subtask 23 (O3): ECU E2 Core 1, Start 10, Finish 15
Subtask 24 (O4): ECU E2 Core 1, Start 41, Finish 51
Subtask 25 (O5): ECU E3 Core 2, Start 22, Finish 27
Subtask 26 (O1): ECU E3 Core 2, Start 37, Finish 40
Subtask 27 (O2): ECU E1 Core 1, Start 47, Finish 49
Subtask 28 (O3): ECU E1 Core 1, Start 49, Finish 53
Subtask 29 (O4): ECU E4 Core 2, Start 49, Finish 55
Subtask 30 (O5): ECU E4 Core 1, Start 49, Finish 55
Subtask 31 (O1): ECU E3 Core 2, Start 40, Finish 50
Subtask 32 (O2): ECU E3 Core 1, Start 47, Finish 55
Subtask 33 (O3): ECU E3 Core 2, Start 50, Finish 58
Subtask 34 (O4): ECU E2 Core 1, Start 51, Finish 56
Subtask 35 (O1): ECU E3 Core 1, Start 55, Finish 61
Subtask 36 (O2): ECU E1 Core 1, Start 55, Finish 61
Subtask 36 (O2): ECU E4 Core 1, Start 55, Finish 61
Subtask 37 (O3): ECU E4 Core 2, Start 55, Finish 63
Subtask 38 (O4): ECU E2 Core 1, Start 63, Finish 75
Subtask 39 (O1): ECU E3 Core 2, Start 58, Finish 68
Subtask 40 (O2): ECU E1 Core 1, Start 61, Finish 73
Subtask 41 (O3): ECU E3 Core 1, Start 61, Finish 63
Subtask 42 (O4): ECU E1 Core 1, Start 73, Finish 78
Subtask 42 (O4): ECU E4 Core 1, Start 73, Finish 78
Subtask 43 (O5): ECU E3 Core 1, Start 78, Finish 81
Subtask 44 (O6): ECU E4 Core 2, Start 63, Finish 69
Subtask 45 (O1): ECU E3 Core 2, Start 68, Finish 71
Subtask 46 (O2): ECU E4 Core 2, Start 69, Finish 72
Subtask 47 (O3): ECU E2 Core 1, Start 75, Finish 78
Subtask 48 (O4): ECU E3 Core 2, Start 71, Finish 75
Subtask 49 (O5): ECU E4 Core 2, Start 72, Finish 82
Subtask 50 (O6): ECU E3 Core 2, Start 78, Finish 88
Subtask 51 (O1): ECU E1 Core 1, Start 78, Finish 83
Subtask 52 (O2): ECU E4 Core 1, Start 83, Finish 87
Subtask 53 (O3): ECU E3 Core 1, Start 83, Finish 89
Subtask 54 (O4): ECU E4 Core 2, Start 83, Finish 89
Subtask 55 (O5): ECU E2 Core 1, Start 89, Finish 95
Subtask 56 (O6): ECU E4 Core 1, Start 95, Finish 100
Subtask 57 (O1): ECU E3 Core 2, Start 88, Finish 100
Subtask 58 (O2): ECU E3 Core 1, Start 89, Finish 93
Subtask 59 (O3): ECU E4 Core 2, Start 100, Finish 108
Subtask 60 (O4): ECU E1 Core 1, Start 108, Finish 120
Subtask 61 (O5): ECU E3 Core 1, Start 100, Finish 108
Subtask 62 (O6): ECU E2 Core 1, Start 95, Finish 103
Subtask 63 (O1): ECU E2 Core 1, Start 103, Finish 109
Subtask 64 (O2): ECU E3 Core 2, Start 109, Finish 113
Subtask 65 (O3): ECU E2 Core 1, Start 109, Finish 113
Subtask 66 (O4): ECU E4 Core 1, Start 113, Finish 115
Subtask 67 (O1): ECU E3 Core 1, Start 108, Finish 118
Subtask 68 (O2): ECU E4 Core 2, Start 118, Finish 124
Subtask 69 (O3): ECU E3 Core 2, Start 113, Finish 115
Subtask 70 (O4): ECU E2 Core 1, Start 115, Finish 119
Subtask 71 (O5): ECU E2 Core 1, Start 119, Finish 125
Subtask 72 (O6): ECU E3 Core 2, Start 125, Finish 135
Subtask 73 (O1): ECU E1 Core 1, Start 120, Finish 126
Subtask 74 (O2): ECU E4 Core 1, Start 126, Finish 130
Subtask 75 (O3): ECU E3 Core 1, Start 118, Finish 128
Subtask 76 (O4): ECU E4 Core 2, Start 126, Finish 129
Subtask 77 (O1): ECU E3 Core 1, Start 128, Finish 138
Subtask 78 (O2): ECU E2 Core 1, Start 138, Finish 146
Subtask 79 (O3): ECU E4 Core 2, Start 129, Finish 135
Subtask 80 (O4): ECU E1 Core 1, Start 135, Finish 139
Subtask 81 (O1): ECU E4 Core 1, Start 130, Finish 136
Subtask 82 (O2): ECU E3 Core 2, Start 135, Finish 147
Subtask 83 (O3): ECU E4 Core 2, Start 135, Finish 141
Subtask 84 (O4): ECU E4 Core 1, Start 147, Finish 155
Subtask 85 (O5): ECU E3 Core 1, Start 141, Finish 145
Subtask 86 (O6): ECU E4 Core 2, Start 141, Finish 145
Subtask 87 (O1): ECU E3 Core 1, Start 145, Finish 149
Subtask 88 (O2): ECU E4 Core 2, Start 149, Finish 157
Subtask 89 (O3): ECU E3 Core 2, Start 147, Finish 153
Subtask 90 (O4): ECU E1 Core 1, Start 149, Finish 151
Subtask 91 (O5): ECU E3 Core 1, Start 149, Finish 161
Subtask 92 (O1): ECU E2 Core 1, Start 146, Finish 151
Subtask 93 (O2): ECU E3 Core 2, Start 153, Finish 157
Subtask 94 (O3): ECU E4 Core 1, Start 155, Finish 161
Subtask 95 (O4): ECU E3 Core 2, Start 157, Finish 162
Subtask 96 (O5): ECU E2 Core 1, Start 162, Finish 165
Subtask 97 (O6): ECU E4 Core 2, Start 157, Finish 167
Subtask 98 (O1): ECU E3 Core 1, Start 161, Finish 167
Subtask 99 (O2): ECU E4 Core 1, Start 167, Finish 173
Subtask 100 (O3): ECU E1 Core 1, Start 167, Finish 179
Subtask 101 (O4): ECU E3 Core 2, Start 179, Finish 184
Subtask 102 (O5): ECU E2 Core 1, Start 173, Finish 176
Subtask 103 (O1): ECU E3 Core 1, Start 167, Finish 172
Subtask 104 (O2): ECU E4 Core 2, Start 167, Finish 175
Subtask 105 (O3): ECU E3 Core 1, Start 175, Finish 181
Subtask 106 (O4): ECU E4 Core 1, Start 173, Finish 181
Subtask 107 (O1): ECU E4 Core 2, Start 175, Finish 180
Subtask 108 (O2): ECU E4 Core 2, Start 180, Finish 188
Subtask 109 (O3): ECU E1 Core 1, Start 188, Finish 192
Subtask 110 (O4): ECU E2 Core 1, Start 176, Finish 182
Subtask 111 (O1): ECU E3 Core 1, Start 181, Finish 184
Subtask 112 (O2): ECU E4 Core 1, Start 181, Finish 189
Subtask 113 (O3): ECU E2 Core 1, Start 184, Finish 192
Subtask 114 (O4): ECU E3 Core 1, Start 189, Finish 199
Subtask 115 (O1): ECU E1 Core 1, Start 192, Finish 198
Subtask 116 (O2): ECU E3 Core 2, Start 184, Finish 194
Subtask 117 (O3): ECU E4 Core 2, Start 194, Finish 206
Subtask 118 (O4): ECU E4 Core 1, Start 206, Finish 212
Subtask 119 (O1): ECU E3 Core 2, Start 194, Finish 200
Subtask 120 (O2): ECU E2 Core 1, Start 200, Finish 204
Subtask 121 (O3): ECU E1 Core 1, Start 200, Finish 205
Subtask 122 (O4): ECU E2 Core 1, Start 204, Finish 212
Subtask 123 (O5): ECU E3 Core 1, Start 200, Finish 205
Subtask 124 (O1): ECU E3 Core 2, Start 200, Finish 204
Subtask 125 (O2): ECU E3 Core 2, Start 204, Finish 209
Subtask 126 (O3): ECU E1 Core 1, Start 205, Finish 215
Subtask 127 (O4): ECU E3 Core 1, Start 215, Finish 218
Subtask 128 (O5): ECU E4 Core 2, Start 209, Finish 221
Subtask 129 (O1): ECU E3 Core 2, Start 209, Finish 219
Subtask 130 (O2): ECU E4 Core 1, Start 212, Finish 222
Subtask 131 (O3): ECU E2 Core 1, Start 212, Finish 217
Subtask 132 (O4): ECU E1 Core 1, Start 222, Finish 228
Subtask 133 (O5): ECU E2 Core 1, Start 217, Finish 223
Subtask 134 (O6): ECU E3 Core 1, Start 218, Finish 224
Subtask 135 (O1): ECU E3 Core 2, Start 219, Finish 223
Subtask 136 (O2): ECU E2 Core 1, Start 223, Finish 228
Subtask 137 (O3): ECU E4 Core 2, Start 228, Finish 238
Subtask 138 (O4): ECU E4 Core 1, Start 228, Finish 233
Subtask 139 (O5): ECU E3 Core 2, Start 233, Finish 239
Subtask 140 (O1): ECU E3 Core 1, Start 224, Finish 229
Subtask 141 (O2): ECU E2 Core 1, Start 228, Finish 238
Subtask 142 (O3): ECU E1 Core 1, Start 229, Finish 239
Subtask 143 (O4): ECU E3 Core 1, Start 229, Finish 237
Subtask 144 (O5): ECU E4 Core 1, Start 239, Finish 247
Subtask 145 (O1): ECU E2 Core 1, Start 238, Finish 242
Subtask 146 (O2): ECU E3 Core 1, Start 237, Finish 241
Subtask 147 (O3): ECU E4 Core 2, Start 241, Finish 247
Subtask 148 (O4): ECU E1 Core 1, Start 247, Finish 257
Load Imbalance: 178
Objective Function Value: 0.1860
Elapsed Time (this testcase): 0.04 seconds
Peak Memory Usage (this testcase): 0.060 MB
=== TestCase 2 ===
Makespan: 221

Schedule:
Subtask 1 (O1): ECU E3 Core 2, Start 0, Finish 5
Subtask 2 (O2): ECU E2 Core 1, Start 8, Finish 14
Subtask 3 (O3): ECU E4 Core 1, Start 14, Finish 18
Subtask 4 (O4): ECU E4 Core 2, Start 14, Finish 20
Subtask 5 (O5): ECU E3 Core 1, Start 4, Finish 7
Subtask 6 (O6): ECU E3 Core 2, Start 20, Finish 28
Subtask 7 (O1): ECU E3 Core 1, Start 7, Finish 15
Subtask 8 (O2): ECU E2 Core 1, Start 14, Finish 24
Subtask 9 (O3): ECU E1 Core 1, Start 18, Finish 21
Subtask 10 (O4): ECU E3 Core 1, Start 21, Finish 25
Subtask 11 (O1): ECU E4 Core 1, Start 18, Finish 30
Subtask 12 (O2): ECU E4 Core 2, Start 30, Finish 40
Subtask 13 (O3): ECU E1 Core 1, Start 21, Finish 31
Subtask 14 (O4): ECU E2 Core 1, Start 24, Finish 28
Subtask 15 (O5): ECU E3 Core 1, Start 28, Finish 32
Subtask 16 (O6): ECU E3 Core 2, Start 28, Finish 34
Subtask 17 (O1): ECU E4 Core 1, Start 30, Finish 34
Subtask 18 (O2): ECU E2 Core 1, Start 28, Finish 38
Subtask 19 (O3): ECU E1 Core 1, Start 31, Finish 33
Subtask 20 (O4): ECU E3 Core 1, Start 38, Finish 44
Subtask 21 (O5): ECU E3 Core 2, Start 34, Finish 46
Subtask 22 (O6): ECU E1 Core 1, Start 38, Finish 44
Subtask 23 (O1): ECU E4 Core 1, Start 34, Finish 36
Subtask 24 (O2): ECU E2 Core 1, Start 38, Finish 46
Subtask 25 (O3): ECU E4 Core 1, Start 36, Finish 42
Subtask 26 (O4): ECU E4 Core 2, Start 42, Finish 46
Subtask 27 (O5): ECU E4 Core 1, Start 42, Finish 52
Subtask 28 (O6): ECU E3 Core 1, Start 44, Finish 46
Subtask 29 (O1): ECU E1 Core 1, Start 44, Finish 48
Subtask 30 (O2): ECU E3 Core 1, Start 46, Finish 50
Subtask 31 (O3): ECU E3 Core 2, Start 48, Finish 58
Subtask 32 (O4): ECU E2 Core 1, Start 46, Finish 51
Subtask 33 (O5): ECU E4 Core 2, Start 50, Finish 54
Subtask 34 (O6): ECU E3 Core 1, Start 51, Finish 53
Subtask 35 (O1): ECU E2 Core 1, Start 51, Finish 55
Subtask 36 (O2): ECU E1 Core 1, Start 48, Finish 50
Subtask 37 (O3): ECU E4 Core 1, Start 52, Finish 64
Subtask 38 (O4): ECU E1 Core 1, Start 50, Finish 54
Subtask 39 (O1): ECU E3 Core 1, Start 0, Finish 4
Subtask 40 (O2): ECU E1 Core 1, Start 4, Finish 8
Subtask 41 (O3): ECU E3 Core 1, Start 53, Finish 61
Subtask 42 (O4): ECU E2 Core 1, Start 0, Finish 8
Subtask 43 (O5): ECU E4 Core 2, Start 61, Finish 67
Subtask 44 (O6): ECU E1 Core 1, Start 8, Finish 18
Subtask 45 (O1): ECU E2 Core 1, Start 55, Finish 61
Subtask 46 (O2): ECU E3 Core 2, Start 58, Finish 62
Subtask 47 (O3): ECU E3 Core 1, Start 61, Finish 67
Subtask 48 (O4): ECU E3 Core 2, Start 62, Finish 65
Subtask 49 (O5): ECU E2 Core 1, Start 65, Finish 70
Subtask 50 (O1): ECU E1 Core 1, Start 54, Finish 58
Subtask 51 (O2): ECU E1 Core 1, Start 58, Finish 64
Subtask 52 (O3): ECU E4 Core 1, Start 64, Finish 70
