Started parsing...
Finished parsing.
=== TestCase 1 ===
Makespan: 1038

Schedule:
Subtask 1 (O1): ECU E4 Core 2, Start 0, Finish 12
Subtask 2 (O2): ECU E2 Core 1, Start 0, Finish 27
Subtask 3 (O3): ECU E5 Core 1, Start 27, Finish 34
Subtask 4 (O4): ECU E5 Core 2, Start 12, Finish 44
Subtask 5 (O1): ECU E6 Core 1, Start 0, Finish 9
Subtask 6 (O2): ECU E6 Core 2, Start 9, Finish 30
Subtask 7 (O3): ECU E6 Core 1, Start 9, Finish 27
Subtask 8 (O4): ECU E7 Core 1, Start 30, Finish 65
Subtask 9 (O1): ECU E2 Core 1, Start 27, Finish 77
Subtask 10 (O2): ECU E7 Core 2, Start 0, Finish 10
Subtask 11 (O3): ECU E8 Core 1, Start 10, Finish 24
Subtask 12 (O4): ECU E8 Core 2, Start 77, Finish 117
Subtask 13 (O1): ECU E9 Core 1, Start 0, Finish 30
Subtask 14 (O2): ECU E9 Core 2, Start 30, Finish 37
Subtask 15 (O3): ECU E6 Core 1, Start 27, Finish 51
Subtask 16 (O4): ECU E10 Core 1, Start 51, Finish 87
Subtask 17 (O5): ECU E10 Core 2, Start 0, Finish 32
Subtask 18 (O6): ECU E7 Core 2, Start 51, Finish 75
Subtask 19 (O1): ECU E4 Core 2, Start 12, Finish 22
Subtask 20 (O2): ECU E4 Core 2, Start 22, Finish 54
Subtask 21 (O3): ECU E8 Core 1, Start 24, Finish 29
Subtask 22 (O4): ECU E8 Core 1, Start 29, Finish 38
Subtask 23 (O1): ECU E6 Core 2, Start 30, Finish 66
Subtask 24 (O2): ECU E9 Core 1, Start 30, Finish 55
Subtask 25 (O3): ECU E10 Core 2, Start 55, Finish 83
Subtask 26 (O4): ECU E5 Core 1, Start 83, Finish 123
Subtask 27 (O5): ECU E3 Core 1, Start 36, Finish 66
Subtask 28 (O6): ECU E9 Core 2, Start 123, Finish 133
Subtask 29 (O1): ECU E5 Core 2, Start 44, Finish 68
Subtask 30 (O2): ECU E8 Core 1, Start 38, Finish 68
Subtask 31 (O3): ECU E4 Core 2, Start 54, Finish 72
Subtask 32 (O4): ECU E6 Core 1, Start 68, Finish 82
Subtask 33 (O5): ECU E9 Core 1, Start 82, Finish 88
Subtask 34 (O1): ECU E7 Core 1, Start 65, Finish 83
Subtask 35 (O2): ECU E1 Core 1, Start 63, Finish 68
Subtask 36 (O3): ECU E3 Core 1, Start 66, Finish 93
Subtask 37 (O4): ECU E3 Core 2, Start 93, Finish 105
Subtask 38 (O5): ECU E8 Core 1, Start 68, Finish 98
Subtask 39 (O6): ECU E4 Core 2, Start 72, Finish 97
Subtask 40 (O1): ECU E6 Core 2, Start 66, Finish 116
Subtask 41 (O2): ECU E1 Core 1, Start 116, Finish 140
Subtask 42 (O3): ECU E5 Core 2, Start 116, Finish 144
Subtask 43 (O4): ECU E7 Core 2, Start 140, Finish 147
Subtask 44 (O5): ECU E2 Core 1, Start 144, Finish 174
Subtask 45 (O1): ECU E6 Core 1, Start 82, Finish 112
Subtask 46 (O2): ECU E6 Core 1, Start 112, Finish 127
Subtask 47 (O3): ECU E7 Core 1, Start 127, Finish 154
Subtask 48 (O4): ECU E10 Core 2, Start 154, Finish 172
Subtask 49 (O1): ECU E10 Core 1, Start 87, Finish 105
Subtask 50 (O2): ECU E6 Core 2, Start 116, Finish 152
Subtask 51 (O3): ECU E9 Core 1, Start 152, Finish 182
Subtask 52 (O4): ECU E3 Core 1, Start 105, Finish 125
Subtask 53 (O5): ECU E4 Core 2, Start 182, Finish 194
Subtask 54 (O1): ECU E8 Core 1, Start 98, Finish 116
Subtask 55 (O2): ECU E3 Core 2, Start 105, Finish 132
Subtask 56 (O3): ECU E10 Core 1, Start 105, Finish 155
Subtask 57 (O4): ECU E4 Core 1, Start 155, Finish 171
Subtask 58 (O5): ECU E5 Core 1, Start 123, Finish 147
Subtask 59 (O1): ECU E8 Core 1, Start 116, Finish 161
Subtask 60 (O2): ECU E8 Core 2, Start 117, Finish 152
Subtask 61 (O3): ECU E3 Core 1, Start 161, Finish 171
Subtask 62 (O4): ECU E3 Core 2, Start 152, Finish 168
Subtask 63 (O5): ECU E6 Core 1, Start 152, Finish 162
Subtask 64 (O1): ECU E9 Core 2, Start 133, Finish 161
Subtask 65 (O2): ECU E1 Core 1, Start 161, Finish 177
Subtask 66 (O3): ECU E5 Core 2, Start 144, Finish 149
Subtask 67 (O4): ECU E5 Core 1, Start 177, Finish 205
Subtask 68 (O5): ECU E7 Core 2, Start 161, Finish 173
Subtask 69 (O1): ECU E5 Core 2, Start 149, Finish 177
Subtask 70 (O2): ECU E6 Core 2, Start 152, Finish 202
Subtask 71 (O3): ECU E6 Core 1, Start 162, Finish 192
Subtask 72 (O4): ECU E8 Core 2, Start 152, Finish 159
Subtask 73 (O1): ECU E7 Core 1, Start 154, Finish 194
Subtask 74 (O2): ECU E8 Core 2, Start 159, Finish 179
Subtask 75 (O3): ECU E10 Core 1, Start 155, Finish 163
Subtask 76 (O4): ECU E8 Core 1, Start 179, Finish 199
Subtask 77 (O5): ECU E9 Core 2, Start 161, Finish 197
Subtask 78 (O6): ECU E2 Core 1, Start 174, Finish 195
Subtask 79 (O1): ECU E10 Core 1, Start 163, Finish 171
Subtask 80 (O2): ECU E3 Core 2, Start 171, Finish 198
Subtask 81 (O3): ECU E3 Core 1, Start 171, Finish 189
Subtask 82 (O4): ECU E4 Core 1, Start 171, Finish 180
Subtask 83 (O5): ECU E10 Core 1, Start 180, Finish 196
Subtask 84 (O6): ECU E10 Core 2, Start 172, Finish 196
Subtask 85 (O1): ECU E7 Core 2, Start 173, Finish 203
Subtask 86 (O2): ECU E5 Core 2, Start 177, Finish 197
Subtask 87 (O3): ECU E8 Core 2, Start 179, Finish 203
Subtask 88 (O4): ECU E1 Core 1, Start 177, Finish 195
Subtask 89 (O5): ECU E4 Core 1, Start 195, Finish 225
Subtask 90 (O1): ECU E6 Core 1, Start 192, Finish 237
Subtask 91 (O2): ECU E9 Core 1, Start 182, Finish 203
Subtask 92 (O3): ECU E3 Core 1, Start 203, Finish 212
Subtask 93 (O4): ECU E4 Core 2, Start 237, Finish 245
Subtask 94 (O5): ECU E7 Core 1, Start 194, Finish 234
Subtask 95 (O6): ECU E10 Core 1, Start 203, Finish 218
Subtask 96 (O1): ECU E9 Core 2, Start 197, Finish 221
Subtask 97 (O2): ECU E3 Core 2, Start 221, Finish 233
Subtask 98 (O3): ECU E1 Core 1, Start 233, Finish 240
Subtask 99 (O4): ECU E2 Core 1, Start 221, Finish 271
Subtask 100 (O1): ECU E8 Core 1, Start 199, Finish 226
Subtask 101 (O2): ECU E10 Core 2, Start 226, Finish 253
Subtask 102 (O3): ECU E5 Core 2, Start 226, Finish 262
Subtask 103 (O4): ECU E6 Core 2, Start 262, Finish 312
Subtask 104 (O1): ECU E7 Core 2, Start 203, Finish 219
Subtask 105 (O2): ECU E8 Core 2, Start 219, Finish 231
Subtask 106 (O3): ECU E9 Core 1, Start 203, Finish 221
Subtask 107 (O4): ECU E5 Core 1, Start 205, Finish 235
Subtask 108 (O5): ECU E3 Core 1, Start 235, Finish 242
Subtask 109 (O1): ECU E10 Core 1, Start 218, Finish 239
Subtask 110 (O2): ECU E7 Core 2, Start 239, Finish 271
Subtask 111 (O3): ECU E5 Core 1, Start 235, Finish 275
Subtask 112 (O4): ECU E9 Core 1, Start 275, Finish 291
Subtask 113 (O5): ECU E9 Core 2, Start 275, Finish 287
Subtask 114 (O1): ECU E6 Core 1, Start 237, Finish 264
Subtask 115 (O2): ECU E4 Core 1, Start 225, Finish 240
Subtask 116 (O3): ECU E8 Core 1, Start 264, Finish 282
Subtask 117 (O4): ECU E8 Core 2, Start 282, Finish 322
Subtask 118 (O5): ECU E3 Core 2, Start 233, Finish 248
Subtask 119 (O6): ECU E1 Core 1, Start 240, Finish 249
Subtask 120 (O1): ECU E1 Core 1, Start 249, Finish 289
Subtask 121 (O2): ECU E5 Core 2, Start 289, Finish 313
Subtask 122 (O3): ECU E6 Core 1, Start 313, Finish 331
Subtask 123 (O4): ECU E7 Core 1, Start 331, Finish 351
Subtask 124 (O1): ECU E4 Core 1, Start 240, Finish 285
Subtask 125 (O2): ECU E10 Core 1, Start 239, Finish 255
Subtask 126 (O3): ECU E2 Core 1, Start 271, Finish 289
Subtask 127 (O4): ECU E3 Core 1, Start 285, Finish 325
Subtask 128 (O5): ECU E4 Core 2, Start 245, Finish 260
Subtask 129 (O6): ECU E3 Core 2, Start 285, Finish 305
Subtask 130 (O1): ECU E10 Core 2, Start 253, Finish 273
Subtask 131 (O2): ECU E10 Core 1, Start 273, Finish 293
Subtask 132 (O3): ECU E5 Core 1, Start 293, Finish 338
Subtask 133 (O4): ECU E4 Core 2, Start 338, Finish 358
Subtask 134 (O5): ECU E7 Core 2, Start 271, Finish 295
Subtask 135 (O6): ECU E10 Core 2, Start 273, Finish 279
Subtask 136 (O1): ECU E10 Core 2, Start 279, Finish 306
Subtask 137 (O2): ECU E8 Core 1, Start 306, Finish 311
Subtask 138 (O3): ECU E4 Core 1, Start 306, Finish 336
Subtask 139 (O4): ECU E9 Core 2, Start 336, Finish 376
Subtask 140 (O1): ECU E1 Core 1, Start 289, Finish 317
Subtask 141 (O2): ECU E2 Core 1, Start 289, Finish 307
Subtask 142 (O3): ECU E9 Core 1, Start 291, Finish 309
Subtask 143 (O4): ECU E2 Core 1, Start 307, Finish 325
Subtask 144 (O1): ECU E10 Core 1, Start 293, Finish 321
Subtask 145 (O2): ECU E6 Core 2, Start 312, Finish 337
Subtask 146 (O3): ECU E7 Core 2, Start 337, Finish 357
Subtask 147 (O4): ECU E3 Core 2, Start 337, Finish 349
Subtask 148 (O5): ECU E10 Core 2, Start 337, Finish 362
Subtask 149 (O1): ECU E9 Core 1, Start 309, Finish 354
Subtask 150 (O2): ECU E8 Core 1, Start 354, Finish 382
Subtask 151 (O3): ECU E5 Core 2, Start 313, Finish 340
Subtask 152 (O4): ECU E1 Core 1, Start 317, Finish 326
Subtask 153 (O1): ECU E10 Core 1, Start 321, Finish 341
Subtask 154 (O2): ECU E2 Core 1, Start 325, Finish 345
Subtask 155 (O3): ECU E1 Core 1, Start 345, Finish 375
Subtask 156 (O4): ECU E8 Core 2, Start 345, Finish 363
Subtask 157 (O1): ECU E3 Core 1, Start 325, Finish 343
Subtask 158 (O2): ECU E6 Core 1, Start 331, Finish 337
Subtask 159 (O3): ECU E4 Core 1, Start 336, Finish 354
Subtask 160 (O4): ECU E6 Core 1, Start 354, Finish 374
Subtask 161 (O5): ECU E6 Core 2, Start 337, Finish 373
Subtask 162 (O1): ECU E3 Core 1, Start 343, Finish 363
Subtask 163 (O2): ECU E5 Core 1, Start 363, Finish 372
Subtask 164 (O3): ECU E5 Core 2, Start 372, Finish 402
Subtask 165 (O4): ECU E10 Core 1, Start 341, Finish 366
Subtask 166 (O5): ECU E2 Core 1, Start 366, Finish 406
Subtask 167 (O6): ECU E3 Core 2, Start 349, Finish 399
Subtask 168 (O1): ECU E7 Core 1, Start 351, Finish 391
Subtask 169 (O2): ECU E4 Core 1, Start 354, Finish 372
Subtask 170 (O3): ECU E9 Core 1, Start 391, Finish 400
Subtask 171 (O4): ECU E7 Core 2, Start 357, Finish 397
Subtask 172 (O5): ECU E4 Core 2, Start 358, Finish 403
Subtask 173 (O1): ECU E5 Core 1, Start 372, Finish 402
Subtask 174 (O2): ECU E10 Core 2, Start 362, Finish 382
Subtask 175 (O3): ECU E6 Core 2, Start 402, Finish 452
Subtask 176 (O4): ECU E3 Core 1, Start 382, Finish 427
Subtask 177 (O5): ECU E8 Core 2, Start 452, Finish 479
Subtask 178 (O6): ECU E4 Core 1, Start 402, Finish 422
Subtask 179 (O1): ECU E6 Core 1, Start 374, Finish 414
Subtask 180 (O2): ECU E10 Core 1, Start 366, Finish 375
Subtask 181 (O3): ECU E1 Core 1, Start 414, Finish 423
Subtask 182 (O4): ECU E10 Core 1, Start 375, Finish 384
Subtask 183 (O5): ECU E9 Core 2, Start 384, Finish 408
Subtask 184 (O6): ECU E8 Core 1, Start 382, Finish 403
Subtask 185 (O1): ECU E10 Core 2, Start 382, Finish 387
Subtask 186 (O2): ECU E10 Core 1, Start 387, Finish 412
Subtask 187 (O3): ECU E10 Core 2, Start 387, Finish 397
Subtask 188 (O4): ECU E5 Core 1, Start 402, Finish 423
Subtask 189 (O5): ECU E7 Core 1, Start 423, Finish 443
Subtask 190 (O1): ECU E7 Core 2, Start 397, Finish 427
Subtask 191 (O2): ECU E10 Core 2, Start 397, Finish 442
Subtask 192 (O3): ECU E3 Core 2, Start 442, Finish 457
Subtask 193 (O4): ECU E9 Core 1, Start 400, Finish 424
Subtask 194 (O5): ECU E5 Core 2, Start 402, Finish 420
Subtask 195 (O6): ECU E2 Core 1, Start 427, Finish 436
Subtask 196 (O1): ECU E4 Core 2, Start 403, Finish 438
Subtask 197 (O2): ECU E8 Core 1, Start 438, Finish 459
Subtask 198 (O3): ECU E9 Core 2, Start 408, Finish 423
Subtask 199 (O4): ECU E10 Core 1, Start 459, Finish 489
Subtask 200 (O1): ECU E6 Core 1, Start 414, Finish 439
Subtask 201 (O2): ECU E4 Core 1, Start 422, Finish 432
Subtask 202 (O3): ECU E5 Core 2, Start 420, Finish 470
Subtask 203 (O4): ECU E1 Core 1, Start 470, Finish 495
Subtask 204 (O5): ECU E5 Core 1, Start 432, Finish 472
Subtask 205 (O1): ECU E9 Core 2, Start 423, Finish 433
Subtask 206 (O2): ECU E9 Core 1, Start 424, Finish 464
Subtask 207 (O3): ECU E3 Core 1, Start 427, Finish 434
Subtask 208 (O4): ECU E7 Core 2, Start 464, Finish 504
Subtask 209 (O5): ECU E4 Core 1, Start 432, Finish 462
Subtask 210 (O6): ECU E9 Core 2, Start 462, Finish 468
Subtask 211 (O1): ECU E3 Core 1, Start 434, Finish 464
Subtask 212 (O2): ECU E2 Core 1, Start 436, Finish 443
Subtask 213 (O3): ECU E6 Core 1, Start 443, Finish 475
Subtask 214 (O4): ECU E4 Core 2, Start 475, Finish 483
Subtask 215 (O5): ECU E3 Core 2, Start 457, Finish 478
Subtask 216 (O6): ECU E10 Core 2, Start 478, Finish 487
